seed,period,n,f1,auroc
0,full,4592,0.7679069767441861,0.8645548310669713
0,cutoff,1410,0.7795823665893271,0.881472306076913
0,post,3182,0.7628865979381443,0.8563664051537185
1,full,4592,0.770552717138876,0.8663597826687794
1,cutoff,1410,0.782675947409126,0.8815892013387584
1,post,3182,0.7653501493528045,0.8588334369817578
2,full,4592,0.7730975098906213,0.8660853164001081
2,cutoff,1410,0.7867078825347759,0.8822905729098306
2,post,3182,0.7672327672327672,0.8580863710294679
3,full,4592,0.7707362534948742,0.8671718573420303
3,cutoff,1410,0.7903351519875292,0.8883219582622391
3,post,3182,0.7623795280824194,0.8563269390228345
4,full,4592,0.7673659673659674,0.8658899271263266
4,cutoff,1410,0.7925696594427245,0.8898292919018245
4,post,3182,0.7565043362241495,0.853948207679551
5,full,4592,0.7666666666666667,0.8635838346661262
5,cutoff,1410,0.7812018489984591,0.8807791376821107
5,post,3182,0.7604235605559232,0.8546043819364715
6,full,4592,0.7681193195059427,0.8650189285758156
6,cutoff,1410,0.7778643803585347,0.880036750229689
6,post,3182,0.7639627659574468,0.8571326061997704
7,full,4592,0.7675650771711587,0.863044114982557
7,cutoff,1410,0.7830769230769231,0.8831016619635124
7,post,3182,0.7609339033212759,0.8529003619721903
8,full,4592,0.7713421725982786,0.8663839664099352
8,cutoff,1410,0.7851622874806801,0.8854600751410946
8,post,3182,0.7653910149750416,0.857009025385891
9,full,4592,0.7687265917602997,0.8640270113195263
9,cutoff,1410,0.7863777089783281,0.8819706490353065
9,post,3182,0.7610738255033557,0.8553147722923844
10,full,4592,0.7710508002783577,0.86524339591932
10,cutoff,1410,0.7780355761794276,0.8788360103031895
10,post,3182,0.7680583167660703,0.8579586044138283
11,full,4592,0.7689095127610209,0.8649723844708137
11,cutoff,1410,0.7805255023183926,0.8783274133744586
11,post,3182,0.7639257294429708,0.8581397898328869
12,full,4592,0.7706336216974515,0.8690532948236046
12,cutoff,1410,0.7897595034910784,0.8890305076125475
12,post,3182,0.7623828647925034,0.8596365129480802
13,full,4592,0.7682613768961494,0.8643842013377063
13,cutoff,1410,0.7929176289453426,0.884481846370915
13,post,3182,0.7575351640991292,0.8548220436280138
14,full,4592,0.7695540508989026,0.8663503778805522
14,cutoff,1410,0.7887323943661971,0.8839476145163407
14,post,3182,0.7613976705490848,0.8571334034953438
15,full,4592,0.7661252900232018,0.8634470813679245
15,cutoff,1410,0.7765793528505393,0.8802479820186375
15,post,3182,0.7616201859229748,0.8553612147595357
16,full,4592,0.7690160502442428,0.8674867258131879
16,cutoff,1410,0.7906976744186046,0.8904578602835018
16,post,3182,0.7597208374875374,0.8560429024748054
17,full,4592,0.7632984901277584,0.8623079503857114
17,cutoff,1410,0.781733746130031,0.8851955227063919
17,post,3182,0.755393295718553,0.8509701093889527
18,full,4592,0.769087955442098,0.8663435642074488
18,cutoff,1410,0.7888198757763976,0.8873847453734085
18,post,3182,0.7606752730883813,0.8557487004082154
19,full,4592,0.7654435671156525,0.8651668140723271
19,cutoff,1410,0.7910216718266254,0.8884890979787374
19,post,3182,0.7544790975447909,0.8534921546115577
20,full,4592,0.7682273468436991,0.8659990418632075
20,cutoff,1410,0.7881619937694704,0.8861675990943694
20,post,3182,0.7597208374875374,0.8558575312539864
21,full,4592,0.7676955210025528,0.8636435262812009
21,cutoff,1410,0.7923076923076923,0.8864690658222862
21,post,3182,0.7570621468926554,0.8525122783518306
22,full,4592,0.7636026858068997,0.8624517092914701
22,cutoff,1410,0.7751937984496124,0.8773655909568185
22,post,3182,0.7586662264773852,0.854657003444317
23,full,4592,0.7703738100766194,0.8680256777589427
23,cutoff,1410,0.7879256965944272,0.8868566659010368
23,post,3182,0.7628524046434494,0.8587339743589744
24,full,4592,0.7743888242142025,0.8675259764089525
24,cutoff,1410,0.7885360185902401,0.8844695416065101
24,post,3182,0.7683089214380826,0.8593686216354127
25,full,4592,0.7660368556099837,0.8616285024199096
25,cutoff,1410,0.7792408985282726,0.8792841088069301
25,post,3182,0.760347129506008,0.8529771016711316
26,full,4592,0.7664420171973042,0.8645544471980641
26,cutoff,1410,0.7947122861586314,0.8865695547315922
26,post,3182,0.7543917799138217,0.8532705064421482
27,full,4592,0.7688734030197445,0.8652430120504128
27,cutoff,1410,0.7937984496124031,0.8859081736448354
27,post,3182,0.7582089552238805,0.8551644820767955
28,full,4592,0.7725481103640157,0.8684973566787049
