cap_per_event_label,period,count,positive,acc,f1,recall,fpr,tp,fp,fn,tn,auroc
8,full,2320,1024,0.7892241379310345,0.7737158722813512,0.81640625,0.2322530864197531,836,301,188,995,0.8650972342785495
8,cutoff,710,304,0.8098591549295775,0.7919876733436055,0.8453947368421053,0.21674876847290642,257,88,47,318,0.8756967850661136
8,post_cutoff,1610,720,0.7801242236024845,0.7658730158730159,0.8041666666666667,0.2393258426966292,579,213,141,677,0.860170099875156
16,full,4592,2048,0.7841898954703833,0.7702295386042198,0.81103515625,0.23742138364779874,1661,604,387,1940,0.8647902386743317
16,cutoff,1410,608,0.8042553191489362,0.7870370370370371,0.8388157894736842,0.22194513715710723,510,178,98,624,0.881667131513322
16,post_cutoff,3182,1440,0.7752985543683218,0.7630096121975473,0.7993055555555556,0.24454649827784156,1151,426,289,1316,0.8566147627248373
32,full,6796,3056,0.7785462036492055,0.7652472313211668,0.8026832460732984,0.2411764705882353,2453,902,603,2838,0.8618250762942016
32,cutoff,2135,912,0.7985948477751756,0.780835881753313,0.8399122807017544,0.23221586263287,766,284,146,939,0.8834263064652638
32,post_cutoff,4661,2144,0.7693627976829006,0.7583726680152844,0.7868470149253731,0.24553039332538737,1687,618,457,1899,0.8515906203487924
64,full,8574,3888,0.7659202239328201,0.7509616577739173,0.7782921810699589,0.24434485702091335,3026,1145,862,3541,0.8494491351086944
64,cutoff,2638,1136,0.799090219863533,0.782964782964783,0.8415492957746479,0.23302263648468707,956,350,180,1152,0.878841415671124
64,post_cutoff,5936,2752,0.7511792452830188,0.7370482463948727,0.7521802325581395,0.2496859296482412,2070,795,682,2389,0.835917756478614
