feature,post_vs_cutoff_smd,error_vs_correct_smd,cutoff_mean,post_mean,correct_mean,error_mean
path_t0_zero_fraction,-0.016441784007682765,-0.0753569495729224,0.0007863900612640265,0.0006227032921576523,0.000822961416633263,0.00020256437433059616
path_t0_extreme_fraction,0.24848853885094904,-0.000982142583032747,0.003003536142322623,0.02071834800703456,0.016166513590177872,0.016083944519371986
path_t0_b1_mean,0.20664883291853495,0.1016293953138658,9960.653560239356,10682.66268497116,10390.316361812058,10806.396674911026
path_t0_b1_std,0.1519281218113018,0.11741444695992204,624.8002001862158,773.9193005556568,700.1842905819176,838.5593401150634
path_t0_b1_p05,0.13611632334987436,0.05683569070101907,9113.47786141584,9476.998410079439,9341.22055635507,9505.893886453125
path_t0_b1_p95,0.19470685024176104,0.11520077133303623,11057.159005624435,11913.983526905318,11539.057662000721,12142.738435404624
path_t0_b2_mean,0.20478272481896972,0.10985024880783391,10574.79866421798,11309.27758187613,11003.39612893103,11459.982552443602
path_t0_b2_std,0.1499384781052882,0.11756494108515679,709.2602433585583,865.4406061601458,787.5230675607509,935.1635672117462
path_t0_b2_p05,0.12884577206982073,0.06302594881041329,9625.488511308897,9980.023422836115,9841.298467483324,10026.65100055873
path_t0_b2_p95,0.19285269587042522,0.12178699954704127,11828.207257305818,12703.14697562759,12310.758235419948,12964.645241663482
path_t0_b3_mean,0.1516769387647039,0.11508814511320897,12274.737883779775,12832.971579146686,12568.812957544014,13040.212835887294
path_t0_b3_std,0.12574457146114298,0.11109581307348197,909.3674832776047,1038.637189400139,971.0898583515019,1105.287948744589
path_t0_b3_p05,0.07770108972194863,0.07139434601870691,11018.9724700444,11251.686222736682,11135.324974166724,11356.341278300615
path_t0_b3_p95,0.1467495250486984,0.12600591107239362,13868.363489857371,14534.57101784767,14195.813281151712,14850.684547205867
path_t0_b4_mean,0.14514143637404103,0.11210047077110691,13399.322538746037,14047.74065197845,13743.440934826574,14281.04509968538
path_t0_b4_std,0.1182628035935787,0.10008410995918875,1191.6785735207236,1324.3635634143996,1257.3358534450747,1386.0320576344673
path_t0_b4_p05,0.07866973932632898,0.07346012530458522,11699.870958436413,12006.382109118262,11853.168586499945,12144.085103804655
path_t0_b4_p95,0.14959927563078979,0.12454428050992464,15434.823237775943,16215.074653328691,15829.954364243755,16551.275024937033
path_t0_b5_mean,-0.13808007429210473,-0.01838970228605578,17794.821844764057,17252.35642825647,17412.42419542306,17333.75015549692
path_t0_b5_std,0.12145308327708097,0.07913493916699554,1380.1861030577606,1505.9579805230844,1450.3181897639006,1541.3071432253244
path_t0_b5_p05,-0.2201397677994122,-0.06097474046649711,15607.353284650255,14797.879400674414,15066.014802612142,14833.648935456227
path_t0_b5_p95,-0.08538170197381359,0.013009854800875058,20036.9447539348,19645.32189225053,19729.41691361395,19796.1574560512
path_t0_b6_mean,-0.1583200351656532,0.012858291875076353,18039.346258654565,17325.878492356984,17494.887319079196,17554.428880031686
path_t0_b6_std,0.008612705232212501,-0.03846006177250686,1580.2695890369866,1588.663012370889,1595.6193803432323,1559.798222255128
path_t0_b6_p05,-0.17524791016467456,0.01534739321680395,15590.295107074455,14790.533996421942,14978.875462911117,15049.972337132664
path_t0_b6_p95,-0.1544687681965722,0.004371723270238082,20578.76044116959,19839.36355382931,20024.712332178264,20046.37670164534
path_t0_b7_mean,-0.04341607612047547,0.08272398910166387,15681.472281998504,15490.858974632116,15447.538707353871,15810.833059063727
path_t0_b7_std,-0.0280472415163961,0.003858335263283272,1490.1709405884603,1461.5441081183171,1468.0125588990572,1471.629679818785
path_t0_b7_p05,-0.06027184996210156,0.06805229875061755,13509.450358204776,13247.775905627364,13240.512776486206,13534.255605890612
path_t0_b7_p95,-0.08059528921267581,0.08347914286240787,18161.56178243811,17772.291624474434,17772.090324674566,18167.43194326001
path_prev1_zero_fraction,-0.002812216727723211,-0.02702030396724167,0.0006628025461681676,0.0006372714508955927,0.0007019186570870874,0.0004739617866068238
path_prev1_extreme_fraction,0.31974996933340616,0.0616898398347552,0.002478147549118018,0.02983783566534049,0.021085299083568397,0.027720873080131724
path_prev1_b1_mean,0.27848011912032283,0.11285272876495368,9973.900601485448,11153.154865409364,10698.01962614228,11289.83487290393
path_prev1_b1_std,0.25627998150927916,0.0761629303311573,631.4047570761009,952.7278764261629,840.5394738741702,955.3597935571368
path_prev1_b1_p05,0.16320462880270975,0.09855056502704858,9146.608783361013,9656.76283082678,9433.899253878537,9791.887928823724
path_prev1_b1_p95,0.2875604269699664,0.10589323930103793,11080.899241865534,12649.796840869985,12062.817931284526,12777.381931301392
path_prev1_b2_mean,0.2739224448476291,0.1207720068244241,10581.946585058284,11755.388904375632,11291.08593088792,11924.78866486718
