feature,period,mean,std,p05,p50,p95
latitude,cutoff,25.706317215873103,24.44421830474284,-26.232100732284017,35.76922001397101,48.065080776685846
latitude,post_cutoff,25.529951228764713,19.946739382920413,-32.53177162545757,31.289118576955715,43.711982981853055
longitude,cutoff,-25.424401049443606,79.43775215808303,-114.46484748698217,-43.760626257565605,112.60210305440069
longitude,post_cutoff,12.905315750356285,83.3924237341445,-105.03266932060323,33.223102146859844,112.99268220812944
source_x,cutoff,241.44487495597042,114.38489036621543,32.0,247.0,460.0
source_x,post_cutoff,251.52408383380316,105.29647087304983,49.0,248.0,452.0
source_y,cutoff,257.35998591053186,113.54631372685871,45.900000000000006,249.0,463.0999999999999
source_y,post_cutoff,249.2211055276382,108.52969375149866,43.0,248.0,457.0
t0_abs_age_days,cutoff,0.9454533416826477,0.10411971166563944,0.9496643518518518,0.9566319444444444,0.9650810185185185
t0_abs_age_days,post_cutoff,0.9458240998919619,0.005557750919639229,0.9362615740740741,0.9471064814814815,0.954375
max_abs_time_age_days,cutoff,358.710237246096,4.3348820451970065,351.03832175925925,359.0436574074074,366.0496064814815
max_abs_time_age_days,post_cutoff,357.42961832224586,6.206224879641353,351.0507523148148,359.0488425925926,367.06741898148147
age_t0_image_time_days,cutoff,-0.9454533416826477,0.10411971166563944,-0.9650810185185185,-0.9566319444444444,-0.9496643518518518
age_t0_image_time_days,post_cutoff,-0.9458240998919619,0.005557750919639229,-0.954375,-0.9471064814814815,-0.9362615740740741
age_prev1_image_time_days,cutoff,20.040556493222706,15.38057251570289,0.03908564814814815,15.050706018518518,47.045462962962965
age_prev1_image_time_days,post_cutoff,8.447450714786672,7.841498549447693,0.048900462962962965,7.051273148148148,23.052569444444444
age_prev2_image_time_days,cutoff,20.478326349751477,12.521297594107482,7.035,15.045416666666666,46.04140046296296
age_prev2_image_time_days,post_cutoff,19.619783578007468,11.352828294229303,7.050127314814815,15.059606481481481,31.063715277777778
age_prev3_image_time_days,cutoff,29.27061933322896,17.285388717103462,8.043078703703705,23.04550925925926,63.04863425925926
age_prev3_image_time_days,post_cutoff,28.47384157831842,15.357005797521325,14.049548611111112,24.042685185185185,63.052326388888886
age_seasonal_image_time_days,cutoff,88.22968981563017,6.672693466743447,79.04560185185186,87.04543981481481,102.0411111111111
age_seasonal_image_time_days,post_cutoff,88.71620585850435,11.875945015153892,63.05515046296296,87.05445601851852,103.05296296296297
age_year_image_time_days,cutoff,358.710237246096,4.3348820451970065,351.03832175925925,359.0436574074074,366.0496064814815
age_year_image_time_days,post_cutoff,357.42961832224586,6.206224879641353,351.0507523148148,359.0488425925926,367.06741898148147
