event_id,count,positive,acc,f1,recall,fpr,tp,fp,fn,tn,auroc,mean_prob1,event_time_min,latitude_mean,longitude_mean
av320250917t175444|2025-09-17T17:54:44Z,3,0,0.6666666666666666,0.0,0.0,0.3333333333333333,0,1,0,2,,0.29858,2025-09-17 17:54:44+00:00,37.75793846002922,-121.63924797413388
av320250917t182057|2025-09-17T18:20:57Z,32,0,0.71875,0.0,0.0,0.28125,0,9,0,23,,0.364088125,2025-09-17 18:20:57+00:00,38.52255130081677,-121.18962461533783
tan20250806t072424c58s4001|2025-08-06T07:24:24Z,48,0,0.9375,0.0,0.0,0.0625,0,3,0,45,,0.18305291666666665,2025-08-06 07:24:24+00:00,38.26605634764531,62.61111524074974
tan20250808t165744c56s4001|2025-08-08T16:57:44Z,171,64,0.9766081871345029,0.9696969696969697,1.0,0.037383177570093455,64,4,0,103,0.9913843457943925,0.44906350877192985,2025-08-08 16:57:44+00:00,39.69361385767429,-80.44264958994827
tan20250810t075114c88s4001|2025-08-10T07:51:14Z,192,96,0.6302083333333334,0.432,0.28125,0.020833333333333332,27,2,69,94,0.6330295138888887,0.23786494791666668,2025-08-10 07:51:14+00:00,39.557602578314906,57.76423350003902
tan20250814t081013c92s4001|2025-08-14T08:10:13Z,16,0,1.0,0.0,0.0,0.0,0,0,0,16,,0.1672175,2025-08-14 08:10:13+00:00,70.3610628606537,68.50887047878697
tan20250814t095205c00s4001|2025-08-14T09:52:05Z,32,0,0.78125,0.0,0.0,0.21875,0,7,0,25,,0.32479875,2025-08-14 09:52:05+00:00,38.531661775724416,27.066857228580105
tan20250816t175805c89s4001|2025-08-16T17:58:05Z,32,16,0.875,0.8888888888888888,1.0,0.25,16,4,0,12,0.98828125,0.5637800000000001,2025-08-16 17:58:05+00:00,16.978608297033333,-99.83374725511784
tan20250820t152927c17s4001|2025-08-20T15:29:27Z,32,16,0.8125,0.8421052631578947,1.0,0.375,16,6,0,10,0.91796875,0.633984375,2025-08-20 15:29:27+00:00,-24.855510130695293,-65.38019205610249
tan20250821t112530c67s4001|2025-08-21T11:25:30Z,96,48,0.8229166666666666,0.8,0.7083333333333334,0.0625,34,3,14,45,0.8993055555555556,0.4633084375,2025-08-21 11:25:30+00:00,41.54926527545023,1.8519577795717528
tan20250821t112719c45s4001|2025-08-21T11:27:19Z,32,16,0.71875,0.7804878048780488,1.0,0.5625,16,9,0,7,0.90234375,0.67730625,2025-08-21 11:27:19+00:00,35.67833634814042,-0.451870123791565
tan20250824t075327c46s4001|2025-08-24T07:53:27Z,96,48,0.6666666666666666,0.7377049180327869,0.9375,0.6041666666666666,45,29,3,19,0.849826388888889,0.6589857291666666,2025-08-24 07:53:27+00:00,39.33533623379723,54.14875149359512
tan20250824t171806c83s4001|2025-08-24T17:18:06Z,16,0,1.0,0.0,0.0,0.0,0,0,0,16,,0.25753125,2025-08-24 17:18:06+00:00,21.267688347403308,-86.92434822434883
tan20250824t184354c83s4001|2025-08-24T18:43:54Z,64,32,0.921875,0.9180327868852459,0.875,0.03125,28,1,4,31,0.9794921875,0.5012489062500001,2025-08-24 18:43:54+00:00,48.18150836573777,-103.08851845893336
tan20250825t090336c57s4001|2025-08-25T09:03:36Z,64,32,0.796875,0.8311688311688312,1.0,0.40625,32,13,0,19,0.943359375,0.654678125,2025-08-25 09:03:36+00:00,-26.13708820026855,28.102314932512133
tan20250826t111457c57s4001|2025-08-26T11:14:57Z,3,0,1.0,0.0,0.0,0.0,0,0,0,3,,0.14076666666666668,2025-08-26 11:14:57+00:00,32.51523166038996,6.710866965229087
tan20250827t182223c99s4001|2025-08-27T18:22:23Z,222,96,0.8063063063063063,0.8170212765957446,1.0,0.3412698412698413,96,43,0,83,0.9700314153439153,0.6202211261261262,2025-08-27 18:22:23+00:00,31.899352698386554,-103.94592439662907
tan20250831t172047c70s4001|2025-08-31T17:20:47Z,16,0,0.875,0.0,0.0,0.125,0,2,0,14,,0.2648,2025-08-31 17:20:47+00:00,13.86079344789536,-89.22246569797107
tan20250831t184456c74s4001|2025-08-31T18:44:56Z,32,16,0.96875,0.9696969696969697,1.0,0.0625,16,1,0,15,1.0,0.490824375,2025-08-31 18:44:56+00:00,48.2858851475512,-103.32102695187842
tan20250903t135718c90s4001|2025-09-03T13:57:18Z,128,64,0.8671875,0.8811188811188811,0.984375,0.25,63,16,1,48,0.956298828125,0.5874400000000001,2025-09-03 13:57:18+00:00,-22.750899865963138,-43.73809727295936
tan20250903t164903c08s4001|2025-09-03T16:49:03Z,12,0,0.8333333333333334,0.0,0.0,0.16666666666666666,0,2,0,10,,0.32574166666666665,2025-09-03 16:49:03+00:00,34.97840283187575,-78.46438396924336
tan20250904t191554c00s4001|2025-09-04T19:15:54Z,64,32,0.84375,0.8648648648648649,1.0,0.3125,32,10,0,22,0.998046875,0.6131021875,2025-09-04 19:15:54+00:00,34.72011520652959,-114.47893919906612
tan20250907t142314c73s4001|2025-09-07T14:23:14Z,64,32,0.609375,0.7191011235955056,1.0,0.78125,32,25,0,7,0.9677734375,0.7930718750000001,2025-09-07 14:23:14+00:00,-15.859870284860598,-48.15599322928901
