month,count,positive,acc,f1,recall,fpr,tp,fp,fn,tn,auroc,mean_prob1,event_time_min,latitude_mean,longitude_mean
2025-08,1164,480,0.813573883161512,0.7823470411233701,0.8125,0.18567251461988304,390,127,90,557,0.8548504507797271,0.4709728608247423,2025-08-06 07:24:24+00:00,32.5859494152834,-27.149643208851398
2025-09,1108,480,0.776173285198556,0.7695167286245354,0.8625,0.2898089171974522,414,182,66,446,0.8877919320594481,0.5448078429602888,2025-09-03 13:57:18+00:00,14.882354299115622,-2.376058118725805
2025-10,567,240,0.7954144620811288,0.768,0.8,0.20795107033639143,192,68,48,259,0.8777459225280325,0.4813414285714286,2025-10-02 11:34:18+00:00,32.7346400230225,-66.92242943336716
2025-11,754,304,0.7652519893899205,0.7247278382581649,0.7664473684210527,0.23555555555555555,233,106,71,344,0.8493311403508771,0.49023763925729447,2025-11-03 15:32:06+00:00,14.826592304618032,-0.16116585855410467
2025-12,3796,1824,0.6954689146469969,0.6922257720979765,0.7127192982456141,0.3204868154158215,1300,632,524,1340,0.7627433743461087,0.49340370389884086,2025-12-02 05:16:43+00:00,28.641441813063896,46.19763852187585
2026-01,1152,560,0.7048611111111112,0.696969696969697,0.6982142857142857,0.28885135135135137,391,171,169,421,0.7850446428571428,0.4915304079861111,2026-01-08 01:14:46+00:00,20.773660086754944,-39.88546071827078
2026-02,1181,560,0.7535986452159187,0.7408726625111309,0.7428571428571429,0.23671497584541062,416,147,144,474,0.8637235449735449,0.5040516714648603,2026-02-04 18:53:10+00:00,28.07818368483959,15.055019199764715
2026-03,872,368,0.7637614678899083,0.7524038461538461,0.8505434782608695,0.2996031746031746,313,151,55,353,0.8606932582815734,0.5211919380733945,2026-03-01 08:34:50+00:00,23.71636864167809,-39.355764156787984
2026-04,209,80,0.8803827751196173,0.8571428571428571,0.9375,0.15503875968992248,75,20,5,109,0.9681201550387597,0.4806675598086124,2026-04-02 15:36:35+00:00,21.074972171422857,-7.175449022753187
2026-05,195,96,0.8769230769230769,0.883495145631068,0.9479166666666666,0.1919191919191919,91,19,5,80,0.9567024410774412,0.5316401025641025,2026-05-03 17:57:08+00:00,31.896278791337522,-30.58603744376239
