plume_id,event_group_id,event_time,datetime,plume_latitude,plume_longitude,plume_bounds,plume_tif,t0_image_time,t0_product_name,t0_product_id,t0_download_needed,t0_download_target_raw_path,t0_raw_path,t0_local_status,t0_path_source,prev1_image_time,prev1_product_name,prev1_product_id,prev1_download_needed,prev1_download_target_raw_path,prev1_raw_path,prev1_local_status,prev1_path_source,prev2_image_time,prev2_product_name,prev2_product_id,prev2_download_needed,prev2_download_target_raw_path,prev2_raw_path,prev2_local_status,prev2_path_source,prev3_image_time,prev3_product_name,prev3_product_id,prev3_download_needed,prev3_download_target_raw_path,prev3_raw_path,prev3_local_status,prev3_path_source,seasonal_image_time,seasonal_product_name,seasonal_product_id,seasonal_download_needed,seasonal_download_target_raw_path,seasonal_raw_path,seasonal_local_status,seasonal_path_source,year_image_time,year_product_name,year_product_id,year_download_needed,year_download_target_raw_path,year_raw_path,year_local_status,year_path_source,planned_recrop_timepoints,projected_complete_after_recrop,already_complete,prev1_product_local_path,prev1_candidate_source,prev2_product_local_path,prev2_candidate_source,prev3_product_local_path,prev3_candidate_source,seasonal_product_local_path,seasonal_candidate_source,year_product_local_path,year_candidate_source,t0_product_local_path,t0_candidate_source
GAO20191026t152429p0000-B,GAO20191026t152429p0000,2019-10-26T15:24:29+00:00,2019-10-26T15:24:29+00:00,32.694322,-104.0897,"[-104.09943627262157, 32.69310646954115, -104.08795152599996, 32.702771230825235]",https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2019/10/26/GAO20191026t152429p0000-B/GAO20191026t152429p0000-B_l3a-vis-ch4-mf-v002_plume.tif,2019-10-26T15:24:29+00:00,,,0,,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/GAO20191026t152429p0000-B/s2_std_512.tif,available,legacy_gee_correct_512,2019-10-23T17:34:01.024000+00:00,,,0,,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_canonical_6510_local_safe_recrop_v4/prev1/GAO20191026t152429p0000-B/s2_-7.tif,available,local_safe_point_recrop_v4,2019-10-21T17:43:49.024000+00:00,S2B_MSIL2A_20191021T174349_N0500_R098_T13SES_20230616T024520.SAFE,7c388826-41cb-4329-9667-58c1451d37b6,1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_canonical_6510_local_safe_recrop_v4/prev2/GAO20191026t152429p0000-B/s2_prev2.tif,,missing,canonical_local_safe,2019-10-18T17:33:29.024000+00:00,,,0,,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_canonical_6510_local_safe_recrop_v4/prev3/GAO20191026t152429p0000-B/s2_prev3.tif,available,local_safe_point_recrop_v4,2019-07-28T15:24:29+00:00,,,0,,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/GAO20191026t152429p0000-B/s2_90_std_512.tif,available,legacy_gee_correct_512,2018-10-31T15:24:29+00:00,,,0,,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/GAO20191026t152429p0000-B/s2_360_std_512.tif,available,legacy_gee_correct_512,prev2,1,0,,,/mnt/engg-niulab/yuyao/sensors_raw_data/S2/raw_data_dir_s2/S2B_MSIL2A_20191021T174349_N0500_R098_T13SES_20230616T024520.SAFE,download_manifest,,,,,,,,
GAO20210506t175942p0000-1,GAO20210506t175942p0000,2021-05-06T17:59:42+00:00,2021-05-06T17:59:42+00:00,30.00155401,-90.39188492,"[-90.39729835438737, 29.996646569241694, -90.39009973883812, 30.002849283152095]",https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2021/05/06/GAO20210506t175942p0000-1/GAO20210506t175942p0000-1_l3a-vis-ch4-mf-v002_plume.tif,2021-05-07T16:29:01.024000+00:00,S2A_MSIL2A_20210507T162901_N0500_R083_T15RYP_20230204T190511.SAFE,3c3adf42-cdfa-45c8-a81e-e90c46e94dd9,1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_canonical_6510_local_safe_recrop_v4/t0/GAO20210506t175942p0000-1/s2.tif,,missing,canonical_local_safe,2021-05-07T16:29:01.024000+00:00,S2A_MSIL2A_20210507T162901_N0500_R083_T15RYP_20230204T190511.SAFE,3c3adf42-cdfa-45c8-a81e-e90c46e94dd9,1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_canonical_6510_local_safe_recrop_v4/prev1/GAO20210506t175942p0000-1/s2_-7.tif,,missing,canonical_local_safe,2021-04-25T16:38:29.024000+00:00,,,0,,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_canonical_6510_local_safe_recrop_v4/prev2/GAO20210506t175942p0000-1/s2_prev2.tif,available,local_safe_point_recrop_v4,2021-04-20T16:38:51.024000+00:00,,,0,,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_canonical_6510_local_safe_recrop_v4/prev3/GAO20210506t175942p0000-1/s2_prev3.tif,available,local_safe_point_recrop_v4,2021-02-01T16:35:19.024000+00:00,,,0,,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_canonical_6510_local_safe_recrop_v4/seasonal/GAO20210506t175942p0000-1/s2_-90.tif,available,local_safe_point_recrop_v4,2020-05-10T16:38:39.024000+00:00,,,0,,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_canonical_6510_local_safe_recrop_v4/year/GAO20210506t175942p0000-1/s2_-360.tif,available,local_safe_point_recrop_v4,"t0,prev1",1,0,/mnt/engg-niulab/yuyao/sensors_raw_data/S2/raw_data_dir_s2/S2A_MSIL2A_20210507T162901_N0500_R083_T15RYP_20230204T190511.SAFE,download_manifest,,,,,,,,,/mnt/engg-niulab/yuyao/sensors_raw_data/S2/raw_data_dir_s2/S2A_MSIL2A_20210507T162901_N0500_R083_T15RYP_20230204T190511.SAFE,download_manifest
GAO20210521t155242p0000-2,GAO20210521t155242p0000,2021-05-21T15:52:42+00:00,2021-05-21T15:52:42+00:00,39.65596768,-80.14917301,"[-80.1514675121018, 39.65396382307766, -80.14486836260085, 39.659044404348485]",https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2021/05/21/GAO20210521t155242p0000-2/GAO20210521t155242p0000-2_l3a-vis-ch4-mf-v002_plume.tif,2021-05-21T15:52:42+00:00,,,0,,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/GAO20210521t155242p0000-2/s2_std_512.tif,available,legacy_gee_correct_512,2021-05-18T15:59:01.024000+00:00,S2A_MSIL2A_20210518T155901_N0500_R097_T17TNE_20230219T122354.SAFE,c12b8411-e688-4fe8-a2d7-f0b856a004c7,1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_canonical_6510_local_safe_recrop_v4/prev1/GAO20210521t155242p0000-2/s2_-7.tif,,missing,canonical_local_safe,2021-05-18T15:59:01.024000+00:00,S2A_MSIL2A_20210518T155901_N0500_R097_T17TNE_20230219T122354.SAFE,c12b8411-e688-4fe8-a2d7-f0b856a004c7,1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_canonical_6510_local_safe_recrop_v4/prev2/GAO20210521t155242p0000-2/s2_prev2.tif,,missing,canonical_local_safe,2021-05-13T15:58:19.024000+00:00,,,0,,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_canonical_6510_local_safe_recrop_v4/prev3/GAO20210521t155242p0000-2/s2_prev3.tif,available,local_safe_point_recrop_v4,2021-02-20T15:52:42+00:00,,,0,,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/GAO20210521t155242p0000-2/s2_90_std_512.tif,available,legacy_gee_correct_512,2020-05-26T15:52:42+00:00,,,0,,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/GAO20210521t155242p0000-2/s2_360_std_512.tif,available,legacy_gee_correct_512,"prev1,prev2",1,0,/mnt/engg-niulab/yuyao/sensors_raw_data/S2/raw_data_dir_s2/S2A_MSIL2A_20210518T155901_N0500_R097_T17TNE_20230219T122354.SAFE,legacy_minus7_manifest,/mnt/engg-niulab/yuyao/sensors_raw_data/S2/raw_data_dir_s2/S2A_MSIL2A_20210518T155901_N0500_R097_T17TNE_20230219T122354.SAFE,download_manifest,,,,,,,,
GAO20210810t154501p0000-B,GAO20210810t154501p0000,2021-08-10T15:45:01+00:00,2021-08-10T15:45:01+00:00,31.9945486,-101.78709,"[-101.78965723224164, 31.992870474449226, -101.78412331975008, 31.997523284995978]",https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2021/08/10/GAO20210810t154501p0000-B/GAO20210810t154501p0000-B_l3a-vis-ch4-mf-v002_plume.tif,2021-08-10T15:45:01+00:00,,,0,,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/GAO20210810t154501p0000-B/s2_std_512.tif,available,legacy_gee_correct_512,2021-08-03T17:29:01.024000+00:00,S2A_MSIL2A_20210803T172901_N0500_R055_T14SKA_20230123T145453.SAFE,495186af-46cd-4cf6-8ab6-61aeafa43d09,1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_canonical_6510_local_safe_recrop_v4/prev1/GAO20210810t154501p0000-B/s2_-7.tif,,missing,canonical_local_safe,2021-08-03T17:29:01.024000+00:00,S2A_MSIL2A_20210803T172901_N0500_R055_T13SGR_20230123T145453.SAFE,79d5fd4b-347b-42c3-b571-4870c1907477,1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_canonical_6510_local_safe_recrop_v4/prev2/GAO20210810t154501p0000-B/s2_prev2.tif,,missing,canonical_local_safe,2021-07-31T17:19:01.024000+00:00,,,0,,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_canonical_6510_local_safe_recrop_v4/prev3/GAO20210810t154501p0000-B/s2_prev3.tif,available,local_safe_point_recrop_v4,2021-05-12T15:45:01+00:00,,,0,,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/GAO20210810t154501p0000-B/s2_90_std_512.tif,available,legacy_gee_correct_512,2020-08-15T15:45:01+00:00,,,0,,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/GAO20210810t154501p0000-B/s2_360_std_512.tif,available,legacy_gee_correct_512,"prev1,prev2",1,0,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_S2/S2A_MSIL2A_20210803T172901_N0500_R055_T14SKA_20230123T145453.SAFE,legacy_minus7_manifest,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_S2/S2A_MSIL2A_20210803T172901_N0500_R055_T13SGR_20230123T145453.SAFE,download_manifest,,,,,,,,
GAO20220506t194111p0000-A,GAO20220506t194111p0000,2022-05-06T19:41:11+00:00,2022-05-06T19:41:11+00:00,30.000539,-90.397601,"[-90.39853778289115, 29.999321258943198, -90.39435670342996, 30.002973624008497]",https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2022/05/06/GAO20220506t194111p0000-A/GAO20220506t194111p0000-A_l3a-vis-ch4-mf-v002_plume.tif,2022-05-07T16:28:29.024000+00:00,S2B_MSIL2A_20220507T162829_N0510_R083_T15RYP_20240618T155356.SAFE,d14527a8-139d-4deb-97ff-d7d84163d094,1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_canonical_6510_local_safe_recrop_v4/t0/GAO20220506t194111p0000-A/s2.tif,,missing,canonical_local_safe,2022-05-07T16:28:29.024000+00:00,S2B_MSIL2A_20220507T162829_N0510_R083_T15RYP_20240618T155356.SAFE,d14527a8-139d-4deb-97ff-d7d84163d094,1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_canonical_6510_local_safe_recrop_v4/prev1/GAO20220506t194111p0000-A/s2_-7.tif,,missing,canonical_local_safe,2022-04-30T16:38:29.024000+00:00,,,0,,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_canonical_6510_local_safe_recrop_v4/prev2/GAO20220506t194111p0000-A/s2_prev2.tif,available,local_safe_point_recrop_v4,2022-04-10T16:38:39.024000+00:00,,,0,,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_canonical_6510_local_safe_recrop_v4/prev3/GAO20220506t194111p0000-A/s2_prev3.tif,available,local_safe_point_recrop_v4,2022-01-30T16:45:29.024000+00:00,,,0,,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_canonical_6510_local_safe_recrop_v4/seasonal/GAO20220506t194111p0000-A/s2_-90.tif,available,local_safe_point_recrop_v4,2021-04-25T16:38:29.024000+00:00,,,0,,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_canonical_6510_local_safe_recrop_v4/year/GAO20220506t194111p0000-A/s2_-360.tif,available,local_safe_point_recrop_v4,"t0,prev1",1,0,/mnt/engg-niulab/yuyao/sensors_raw_data/S2/raw_data_dir_s2/S2B_MSIL2A_20220507T162829_N0510_R083_T15RYP_20240618T155356.SAFE,download_manifest,,,,,,,,,/mnt/engg-niulab/yuyao/sensors_raw_data/S2/raw_data_dir_s2/S2B_MSIL2A_20220507T162829_N0510_R083_T15RYP_20240618T155356.SAFE,download_manifest
GAO20230430t173028p0000-A,GAO20230430t173028p0000,2023-04-30T17:30:28+00:00,2023-04-30T17:30:28+00:00,29.67935643020867,-94.9177689834817,"[-94.92071600854132, 29.675445079850526, -94.91068279809917, 29.684206924933076]",https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/04/30/GAO20230430t173028p0000-A/GAO20230430t173028p0000-A_l3a-vis-ch4-mf-v002_plume.tif,2023-05-01T16:58:49.024000+00:00,S2B_MSIL2A_20230501T165849_N0510_R069_T15RUN_20240831T081957.SAFE,f3c05f9c-fc91-43a0-bafb-49272b80ce2f,1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_canonical_6510_local_safe_recrop_v4/t0/GAO20230430t173028p0000-A/s2.tif,,missing,canonical_local_safe,2023-05-01T16:58:49.024000+00:00,S2B_MSIL2A_20230501T165849_N0510_R069_T15RUN_20240831T081957.SAFE,f3c05f9c-fc91-43a0-bafb-49272b80ce2f,1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_canonical_6510_local_safe_recrop_v4/prev1/GAO20230430t173028p0000-A/s2_-7.tif,,missing,canonical_local_safe,2023-04-28T16:48:49.024000+00:00,,,0,,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_canonical_6510_local_safe_recrop_v4/prev2/GAO20230430t173028p0000-A/s2_prev2.tif,available,local_safe_point_recrop_v4,2023-04-13T16:48:41.024000+00:00,,,0,,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_canonical_6510_local_safe_recrop_v4/prev3/GAO20230430t173028p0000-A/s2_prev3.tif,available,local_safe_point_recrop_v4,2023-01-26T17:06:01.024000+00:00,,,0,,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_canonical_6510_local_safe_recrop_v4/seasonal/GAO20230430t173028p0000-A/s2_-90.tif,available,local_safe_point_recrop_v4,2022-04-28T16:48:51.024000+00:00,,,0,,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_canonical_6510_local_safe_recrop_v4/year/GAO20230430t173028p0000-A/s2_-360.tif,available,local_safe_point_recrop_v4,"t0,prev1",1,0,/mnt/engg-niulab/yuyao/sensors_raw_data/S2/raw_data_dir_s2/S2B_MSIL2A_20230501T165849_N0510_R069_T15RUN_20240831T081957.SAFE,download_manifest,,,,,,,,,/mnt/engg-niulab/yuyao/sensors_raw_data/S2/raw_data_dir_s2/S2B_MSIL2A_20230501T165849_N0510_R069_T15RUN_20240831T081957.SAFE,download_manifest
GAO20230430t185208p0000-A,GAO20230430t185208p0000,2023-04-30T18:52:08+00:00,2023-04-30T18:52:08+00:00,29.681412813274804,-94.91721127406456,"[-94.92094847332075, 29.67743658992839, -94.91215650197836, 29.685074997968684]",https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/04/30/GAO20230430t185208p0000-A/GAO20230430t185208p0000-A_l3a-vis-ch4-mf-v002_plume.tif,2023-05-01T16:58:49.024000+00:00,S2B_MSIL2A_20230501T165849_N0510_R069_T15RUN_20240831T081957.SAFE,f3c05f9c-fc91-43a0-bafb-49272b80ce2f,1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_canonical_6510_local_safe_recrop_v4/t0/GAO20230430t185208p0000-A/s2.tif,,missing,canonical_local_safe,2023-05-01T16:58:49.024000+00:00,S2B_MSIL2A_20230501T165849_N0510_R069_T15RUN_20240831T081957.SAFE,f3c05f9c-fc91-43a0-bafb-49272b80ce2f,1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_canonical_6510_local_safe_recrop_v4/prev1/GAO20230430t185208p0000-A/s2_-7.tif,,missing,canonical_local_safe,2023-04-28T16:48:49.024000+00:00,,,0,,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_canonical_6510_local_safe_recrop_v4/prev2/GAO20230430t185208p0000-A/s2_prev2.tif,available,local_safe_point_recrop_v4,2023-04-13T16:48:41.024000+00:00,,,0,,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_canonical_6510_local_safe_recrop_v4/prev3/GAO20230430t185208p0000-A/s2_prev3.tif,available,local_safe_point_recrop_v4,2023-01-26T17:06:01.024000+00:00,,,0,,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_canonical_6510_local_safe_recrop_v4/seasonal/GAO20230430t185208p0000-A/s2_-90.tif,available,local_safe_point_recrop_v4,2022-04-28T16:48:51.024000+00:00,,,0,,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_canonical_6510_local_safe_recrop_v4/year/GAO20230430t185208p0000-A/s2_-360.tif,available,local_safe_point_recrop_v4,"t0,prev1",1,0,/mnt/engg-niulab/yuyao/sensors_raw_data/S2/raw_data_dir_s2/S2B_MSIL2A_20230501T165849_N0510_R069_T15RUN_20240831T081957.SAFE,download_manifest,,,,,,,,,/mnt/engg-niulab/yuyao/sensors_raw_data/S2/raw_data_dir_s2/S2B_MSIL2A_20230501T165849_N0510_R069_T15RUN_20240831T081957.SAFE,download_manifest
GAO20230430t185208p0000-B,GAO20230430t185208p0000,2023-04-30T18:52:08+00:00,2023-04-30T18:52:08+00:00,29.68089059579546,-94.91855571827828,"[-94.92094847332075, 29.67743658992839, -94.91215650197836, 29.685074997968684]",https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/04/30/GAO20230430t185208p0000-B/GAO20230430t185208p0000-B_l3a-vis-ch4-mf-v002_plume.tif,2023-05-01T16:58:49.024000+00:00,S2B_MSIL2A_20230501T165849_N0510_R069_T15RUN_20240831T081957.SAFE,f3c05f9c-fc91-43a0-bafb-49272b80ce2f,1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_canonical_6510_local_safe_recrop_v4/t0/GAO20230430t185208p0000-B/s2.tif,,missing,canonical_local_safe,2023-05-01T16:58:49.024000+00:00,S2B_MSIL2A_20230501T165849_N0510_R069_T15RUN_20240831T081957.SAFE,f3c05f9c-fc91-43a0-bafb-49272b80ce2f,1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_canonical_6510_local_safe_recrop_v4/prev1/GAO20230430t185208p0000-B/s2_-7.tif,,missing,canonical_local_safe,2023-04-28T16:48:49.024000+00:00,,,0,,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_canonical_6510_local_safe_recrop_v4/prev2/GAO20230430t185208p0000-B/s2_prev2.tif,available,local_safe_point_recrop_v4,2023-04-13T16:48:41.024000+00:00,,,0,,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_canonical_6510_local_safe_recrop_v4/prev3/GAO20230430t185208p0000-B/s2_prev3.tif,available,local_safe_point_recrop_v4,2023-01-26T17:06:01.024000+00:00,,,0,,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_canonical_6510_local_safe_recrop_v4/seasonal/GAO20230430t185208p0000-B/s2_-90.tif,available,local_safe_point_recrop_v4,2022-04-28T16:48:51.024000+00:00,,,0,,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_canonical_6510_local_safe_recrop_v4/year/GAO20230430t185208p0000-B/s2_-360.tif,available,local_safe_point_recrop_v4,"t0,prev1",1,0,/mnt/engg-niulab/yuyao/sensors_raw_data/S2/raw_data_dir_s2/S2B_MSIL2A_20230501T165849_N0510_R069_T15RUN_20240831T081957.SAFE,download_manifest,,,,,,,,,/mnt/engg-niulab/yuyao/sensors_raw_data/S2/raw_data_dir_s2/S2B_MSIL2A_20230501T165849_N0510_R069_T15RUN_20240831T081957.SAFE,download_manifest
GAO20230824t185535p0000-H,GAO20230824t185535p0000,2023-08-24T18:55:35+00:00,2023-08-24T18:55:35+00:00,31.64692373340641,-101.90558170543945,"[-101.9081239167078, 31.64566763388616, -101.9019975447185, 31.65083796518371]",https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2023/08/24/GAO20230824t185535p0000-H/GAO20230824t185535p0000-H_l3a-vis-ch4-mf-v002_plume.tif,2023-08-25T17:18:59.024000+00:00,,,0,,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_canonical_6510_local_safe_recrop_v4/t0/GAO20230824t185535p0000-H/s2.tif,available,local_safe_point_recrop_v4,2023-08-25T17:18:59.024000+00:00,,,0,,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_canonical_6510_local_safe_recrop_v4/prev1/GAO20230824t185535p0000-H/s2_-7.tif,available,local_safe_point_recrop_v4,2023-08-20T17:19:01.024000+00:00,,,0,,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_canonical_6510_local_safe_recrop_v4/prev2/GAO20230824t185535p0000-H/s2_prev2.tif,available,local_safe_point_recrop_v4,2023-08-18T17:28:59.024000+00:00,,,0,,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_canonical_6510_local_safe_recrop_v4/prev3/GAO20230824t185535p0000-H/s2_prev3.tif,available,local_safe_point_recrop_v4,2023-05-22T17:30:41.024000+00:00,,,0,,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_canonical_6510_local_safe_recrop_v4/seasonal/GAO20230824t185535p0000-H/s2_-90.tif,available,local_safe_point_recrop_v4,2022-08-28T17:29:11.024000+00:00,S2A_MSIL2A_20220828T172911_N0510_R055_T13SGR_20240710T191125.SAFE,79cd00e7-87e0-4219-8b73-03e1ebdeab83,1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_canonical_6510_local_safe_recrop_v4/year/GAO20230824t185535p0000-H/s2_-360.tif,,missing,canonical_local_safe,year,1,0,,,,,,,,,/mnt/engg-niulab/yuyao/sensors_raw_data/S2/raw_data_dir_s2/S2A_MSIL2A_20220828T172911_N0510_R055_T13SGR_20240710T191125.SAFE,download_manifest,,
GAO20240509t172110p0000-A,GAO20240509t172110p0000,2024-05-09T17:21:10+00:00,2024-05-09T17:21:10+00:00,32.84407823623418,-104.06179766015318,"[-104.06447694927805, 32.84147716970757, -104.05842526845359, 32.84656149038156]",https://api.carbonmapper.org/api/v1/catalog/asset/l3a-vis-ch4-mf-v002/2024/05/09/GAO20240509t172110p0000-A/GAO20240509t172110p0000-A_l3a-vis-ch4-mf-v002_plume.tif,2024-05-09T17:21:10+00:00,,,0,,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/GAO20240509t172110p0000-A/s2_std_512.tif,available,legacy_gee_correct_512,2024-05-07T17:39:09.024000+00:00,,,0,,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_canonical_6510_local_safe_recrop_v4/prev1/GAO20240509t172110p0000-A/s2_-7.tif,available,local_safe_point_recrop_v4,2024-05-07T17:39:09.024000+00:00,,,0,,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_canonical_6510_local_safe_recrop_v4/prev2/GAO20240509t172110p0000-A/s2_prev2.tif,available,local_safe_point_recrop_v4,2024-05-02T17:39:11.024000+00:00,S2A_MSIL2A_20240502T173911_N0510_R098_T13SES_20240503T004651.SAFE,13ec304d-e34c-4586-bb5a-573f35755caa,1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_canonical_6510_local_safe_recrop_v4/prev3/GAO20240509t172110p0000-A/s2_prev3.tif,,missing,canonical_local_safe,2024-02-09T17:21:10+00:00,,,0,,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/GAO20240509t172110p0000-A/s2_90_std_512.tif,available,legacy_gee_correct_512,2023-05-15T17:21:10+00:00,,,0,,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/GAO20240509t172110p0000-A/s2_360_std_512.tif,available,legacy_gee_correct_512,prev3,1,0,,,,,/mnt/engg-niulab/yuyao/sensors_raw_data/S2/raw_data_dir_s2/S2A_MSIL2A_20240502T173911_N0510_R098_T13SES_20240503T004651.SAFE,download_manifest,,,,,,
