plume_id,status,reason,source_mask,reference,reference_kind,out_mask,positive_pixels
GAO20191010t145854p0000-A,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191010t145854p0000-A/s2_mask_512.tif,40
GAO20191010t145854p0000-B,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191010t145854p0000-B/s2_mask_512.tif,427
GAO20191010t145854p0000-C,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191010t145854p0000-C/s2_mask_512.tif,77
GAO20191010t151827p0000-A,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191010t151827p0000-A/s2_mask_512.tif,137
GAO20191010t153310p0000-A,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191010t153310p0000-A/s2_mask_512.tif,73
GAO20191010t153310p0000-B,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191010t153310p0000-B/s2_mask_512.tif,44
GAO20191010t153310p0000-C,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191010t153310p0000-C/s2_mask_512.tif,105
GAO20191010t153310p0000-D,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191010t153310p0000-D/s2_mask_512.tif,31
GAO20191010t153310p0000-E,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191010t153310p0000-E/s2_mask_512.tif,17
GAO20191010t153310p0000-F,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191010t153310p0000-F/s2_mask_512.tif,27
GAO20191010t153310p0000-G,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191010t153310p0000-G/s2_mask_512.tif,15
GAO20191010t153310p0000-H,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191010t153310p0000-H/s2_mask_512.tif,40
GAO20191010t155244p0000-A,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191010t155244p0000-A/s2_mask_512.tif,18
GAO20191010t155244p0000-B,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191010t155244p0000-B/s2_mask_512.tif,100
GAO20191010t155244p0000-C,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191010t155244p0000-C/s2_mask_512.tif,47
GAO20191010t155244p0000-D,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191010t155244p0000-D/s2_mask_512.tif,36
GAO20191010t155244p0000-E,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191010t155244p0000-E/s2_mask_512.tif,23
GAO20191010t160715p0000-A,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191010t160715p0000-A/s2_mask_512.tif,15
GAO20191010t160715p0000-B,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191010t160715p0000-B/s2_mask_512.tif,62
GAO20191010t160715p0000-C,ok,exists,,,,/diniuvol/yuyao/s2_canonical_masks_v4/GAO20191010t160715p0000-C/s2_mask_512.tif,28
