plume_id,timepoint,raw_path,size,read_ok,bands,height,width,dtype,crs,center_nonzero_bands,center_max,error
GAO20191010t145854p0000-A,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191010t145854p0000-A/s2_prev1.tif,7749455,True,12,513,601,uint16,EPSG:4326,12,4954,
GAO20191010t145854p0000-B,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191010t145854p0000-B/s2_prev1.tif,7766931,True,12,514,601,uint16,EPSG:4326,12,3136,
GAO20191010t145854p0000-C,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191010t145854p0000-C/s2_prev1.tif,7720178,True,12,514,601,uint16,EPSG:4326,12,5065,
GAO20191010t151827p0000-A,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191010t151827p0000-A/s2_prev1.tif,7738571,True,12,514,601,uint16,EPSG:4326,12,4130,
GAO20191010t153310p0000-A,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191010t153310p0000-A/s2_prev1.tif,7780731,True,12,514,600,uint16,EPSG:4326,12,5386,
GAO20191010t153310p0000-B,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191010t153310p0000-B/s2_prev1.tif,3959741,True,12,514,600,uint16,EPSG:4326,12,3998,
GAO20191010t153310p0000-C,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191010t153310p0000-C/s2_prev1.tif,6648517,True,12,514,601,uint16,EPSG:4326,12,4730,
GAO20191010t153310p0000-D,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191010t153310p0000-D/s2_prev1.tif,7784363,True,12,514,600,uint16,EPSG:4326,12,4925,
GAO20191010t153310p0000-E,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191010t153310p0000-E/s2_prev1.tif,4910268,True,12,514,600,uint16,EPSG:4326,12,3554,
GAO20191010t153310p0000-F,prev1,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191010t153310p0000-F/s2_prev1.tif,6634009,True,12,514,601,uint16,EPSG:4326,12,3719,
