plume_id,has_all6_files,has_all6_center_nonzero,zero_or_missing_timepoints
GAO20191010t145854p0000-A,True,True,0
GAO20191010t145854p0000-B,True,True,0
GAO20191010t145854p0000-C,True,True,0
GAO20191010t151827p0000-A,True,True,0
GAO20191010t153310p0000-A,True,True,0
GAO20191010t153310p0000-B,True,True,0
GAO20191010t153310p0000-C,True,True,0
GAO20191010t153310p0000-D,True,True,0
GAO20191010t153310p0000-E,True,True,0
GAO20191010t153310p0000-F,True,True,0
GAO20191010t153310p0000-G,True,True,0
GAO20191010t153310p0000-H,True,True,0
GAO20191010t155244p0000-A,True,True,0
GAO20191010t155244p0000-B,True,True,0
GAO20191010t155244p0000-C,True,True,0
GAO20191010t155244p0000-D,True,False,6
GAO20191010t155244p0000-E,True,True,0
GAO20191010t160715p0000-A,True,True,0
GAO20191010t160715p0000-B,True,True,0
GAO20191010t160715p0000-C,True,True,0
GAO20191010t162620p0000-A,True,True,0
GAO20191010t162620p0000-B,True,False,6
GAO20191010t162620p0000-C,True,False,6
GAO20191010t162620p0000-D,True,True,0
GAO20191010t162620p0000-E,True,False,6
GAO20191010t162620p0000-F,True,True,0
GAO20191010t162620p0000-G,True,True,0
GAO20191010t162620p0000-H,True,True,0
GAO20191010t164043p0000-A,True,True,0
GAO20191010t164043p0000-B,True,False,6
GAO20191010t164043p0000-C,True,True,0
GAO20191010t164043p0000-D,True,False,6
GAO20191010t164043p0000-E,True,False,6
GAO20191010t164043p0000-F,True,True,0
GAO20191010t164043p0000-G,True,True,0
GAO20191010t164043p0000-H,True,True,0
GAO20191010t164043p0000-I,True,True,0
GAO20191010t164043p0000-J,True,True,0
GAO20191010t164043p0000-K,True,True,0
GAO20191010t164043p0000-L,True,True,0
GAO20191010t164043p0000-M,True,True,0
GAO20191010t164043p0000-N,True,True,0
GAO20191010t164043p0000-O,True,True,0
GAO20191010t164043p0000-P,True,True,0
GAO20191010t170025p0000-A,True,True,0
GAO20191010t170025p0000-B,True,True,0
GAO20191010t170025p0000-C,True,True,0
GAO20191010t170025p0000-D,True,True,0
GAO20191010t170025p0000-E,True,True,0
GAO20191010t170025p0000-F,True,True,0
GAO20191010t170025p0000-G,True,True,0
GAO20191010t170025p0000-H,True,True,0
GAO20191010t170025p0000-I,True,True,0
GAO20191010t170025p0000-J,True,False,1
GAO20191010t170025p0000-K,True,True,0
GAO20191010t171502p0000-A,True,True,0
GAO20191010t171502p0000-B,True,True,0
GAO20191010t171502p0000-C,True,True,0
GAO20191010t171502p0000-D,True,True,0
GAO20191010t171502p0000-E,True,True,0
GAO20191010t171502p0000-F,True,True,0
GAO20191010t171502p0000-G,True,True,0
GAO20191010t171502p0000-H,True,True,0
GAO20191010t171502p0000-I,True,True,0
GAO20191010t171502p0000-J,True,True,0
GAO20191010t171502p0000-K,True,True,0
GAO20191010t171502p0000-L,True,True,0
GAO20191010t171502p0000-M,True,True,0
GAO20191010t171502p0000-N,True,True,0
GAO20191010t171502p0000-O,True,False,1
GAO20191012t175419p0000-A,True,True,0
GAO20191012t185226p0000-B,True,True,0
GAO20191013t170924p0000-A,True,True,0
GAO20191017t182001p0000-A,True,False,5
GAO20191017t183338p0000-C,True,False,5
GAO20191017t183338p0000-E,True,True,0
GAO20191017t183338p0000-J,True,False,5
GAO20191017t184807p0000-A,True,True,0
GAO20191017t190156p0000-D,True,True,0
GAO20191018t155430p0000-A,True,True,0
GAO20191018t155430p0000-B,True,True,0
GAO20191018t160542p0000-A,True,False,6
GAO20191018t160542p0000-B,True,True,0
GAO20191018t162013p0000-A,True,True,0
GAO20191018t162013p0000-B,True,True,0
GAO20191018t162013p0000-C,True,True,0
GAO20191018t162013p0000-D,True,True,0
GAO20191018t163314p0000-A,True,True,0
GAO20191018t163314p0000-B,True,True,0
GAO20191018t163314p0000-C,True,True,0
GAO20191018t163314p0000-D,True,True,0
GAO20191018t164922p0000-A,True,True,0
GAO20191018t164922p0000-B,True,True,0
GAO20191018t170521p0000-A,True,False,6
GAO20191018t170521p0000-B,True,True,0
GAO20191018t170521p0000-C,True,True,0
GAO20191018t170521p0000-D,True,True,0
GAO20191018t170521p0000-E,True,True,0
GAO20191018t172527p0000-A,True,True,0
GAO20191019t174717p0000-A,True,False,6
GAO20191019t174717p0000-B,True,True,0
GAO20191019t174717p0000-C,True,True,0
GAO20191019t174717p0000-D,True,True,0
GAO20191019t174717p0000-E,True,True,0
GAO20191019t174717p0000-F,True,True,0
GAO20191019t180726p0000-A,True,True,0
GAO20191019t180726p0000-B,True,True,0
GAO20191019t182124p0000-A,True,True,0
GAO20191019t182124p0000-B,True,True,0
GAO20191019t182124p0000-C,True,True,0
GAO20191019t184202p0000-A,True,True,0
GAO20191019t184202p0000-B,True,True,0
GAO20191019t185547p0000-A,True,True,0
GAO20191019t185547p0000-B,True,True,0
GAO20191019t191619p0000-A,True,True,0
GAO20191019t191619p0000-B,True,True,0
GAO20191022t175740p0000-A,True,True,0
GAO20191022t175740p0000-B,True,True,0
GAO20191022t175740p0000-C,True,True,0
GAO20191022t181133p0000-A,True,True,0
GAO20191022t181133p0000-B,True,False,5
GAO20191022t181133p0000-C,True,True,0
GAO20191022t181133p0000-D,True,True,0
GAO20191022t182544p0000-A,True,True,0
GAO20191022t182544p0000-B,True,True,0
GAO20191022t182544p0000-C,True,False,5
GAO20191022t183947p0000-A,True,True,0
GAO20191022t183947p0000-B,True,True,0
GAO20191022t185225p0000-A,True,True,0
GAO20191022t185651p0000-A,True,True,0
GAO20191022t185651p0000-B,True,True,0
GAO20191022t185651p0000-C,True,True,0
GAO20191022t185651p0000-D,True,True,0
GAO20191022t185651p0000-E,True,True,0
GAO20191101t174632p0000-A,True,True,0
GAO20191101t174632p0000-B,True,True,0
GAO20191101t175852p0000-A,True,False,6
GAO20191101t175852p0000-B,True,True,0
GAO20191101t181517p0000-A,True,False,6
GAO20191101t181517p0000-B,True,True,0
GAO20191101t181517p0000-E,True,False,6
GAO20191101t182727p0000-C,True,False,6
GAO20191101t182727p0000-E,True,False,6
GAO20191101t182727p0000-F,True,False,6
GAO20191101t182727p0000-G,True,False,6
GAO20191101t182727p0000-H,True,False,6
GAO20191101t182727p0000-I,True,True,0
GAO20191101t184322p0000-A,True,True,0
GAO20191101t184322p0000-B,True,False,6
GAO20191101t184322p0000-C,True,True,0
GAO20200714t172448p0000-H,True,True,0
GAO20200715t180121p0000-A,True,True,0
GAO20200715t180121p0000-B,True,True,0
GAO20200715t180121p0000-C,True,True,0
GAO20200715t180121p0000-D,True,True,0
