plume_id,event_group_id,status,reason,physical_t0,gee_only_t0,physical_prev1,gee_only_prev1,physical_prev2,gee_only_prev2,physical_prev3,gee_only_prev3,physical_seasonal,gee_only_seasonal,physical_year,gee_only_year,physical_raw_cm_mask
GAO20191010t145854p0000-A,GAO20191010t145854p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191010t145854p0000-B,GAO20191010t145854p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191010t145854p0000-C,GAO20191010t145854p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191010t151827p0000-A,GAO20191010t151827p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191010t153310p0000-A,GAO20191010t153310p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191010t153310p0000-B,GAO20191010t153310p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191010t153310p0000-C,GAO20191010t153310p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191010t153310p0000-D,GAO20191010t153310p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191010t153310p0000-E,GAO20191010t153310p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191010t153310p0000-F,GAO20191010t153310p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191010t153310p0000-G,GAO20191010t153310p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191010t153310p0000-H,GAO20191010t153310p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191010t155244p0000-A,GAO20191010t155244p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191010t155244p0000-B,GAO20191010t155244p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191010t155244p0000-C,GAO20191010t155244p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191010t155244p0000-D,GAO20191010t155244p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191010t155244p0000-E,GAO20191010t155244p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191010t160715p0000-A,GAO20191010t160715p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191010t160715p0000-B,GAO20191010t160715p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191010t160715p0000-C,GAO20191010t160715p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191010t162620p0000-A,GAO20191010t162620p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191010t162620p0000-B,GAO20191010t162620p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191010t162620p0000-C,GAO20191010t162620p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191010t162620p0000-D,GAO20191010t162620p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191010t162620p0000-E,GAO20191010t162620p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191010t162620p0000-F,GAO20191010t162620p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191010t162620p0000-G,GAO20191010t162620p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191010t162620p0000-H,GAO20191010t162620p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191010t164043p0000-A,GAO20191010t164043p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191010t164043p0000-B,GAO20191010t164043p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191010t164043p0000-C,GAO20191010t164043p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191010t164043p0000-D,GAO20191010t164043p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191010t164043p0000-E,GAO20191010t164043p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191010t164043p0000-F,GAO20191010t164043p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191010t164043p0000-G,GAO20191010t164043p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20191010t164043p0000-H,GAO20191010t164043p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
