plume_id,status,reason,mask_positive_pixels,mask_center20_sum,s2_0_std_512,s2_-7_std_512,s2_prev2_std_512,s2_prev3_std_512,s2_-90_std_512,s2_-360_std_512,resized_512x512_path
GAO20191010t145854p0000-A,ok,,34,34,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t145854p0000-A/s2_0_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t145854p0000-A/s2_-7_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t145854p0000-A/s2_prev2_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t145854p0000-A/s2_prev3_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t145854p0000-A/s2_-90_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t145854p0000-A/s2_-360_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t145854p0000-A/resized_512x512.tif
GAO20191010t145854p0000-B,ok,,533,96,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t145854p0000-B/s2_0_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t145854p0000-B/s2_-7_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t145854p0000-B/s2_prev2_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t145854p0000-B/s2_prev3_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t145854p0000-B/s2_-90_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t145854p0000-B/s2_-360_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t145854p0000-B/resized_512x512.tif
GAO20191010t145854p0000-C,ok,,69,69,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t145854p0000-C/s2_0_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t145854p0000-C/s2_-7_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t145854p0000-C/s2_prev2_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t145854p0000-C/s2_prev3_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t145854p0000-C/s2_-90_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t145854p0000-C/s2_-360_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t145854p0000-C/resized_512x512.tif
GAO20191010t151827p0000-A,ok,,128,76,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t151827p0000-A/s2_0_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t151827p0000-A/s2_-7_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t151827p0000-A/s2_prev2_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t151827p0000-A/s2_prev3_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t151827p0000-A/s2_-90_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t151827p0000-A/s2_-360_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t151827p0000-A/resized_512x512.tif
GAO20191010t153310p0000-A,ok,,69,42,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t153310p0000-A/s2_0_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t153310p0000-A/s2_-7_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t153310p0000-A/s2_prev2_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t153310p0000-A/s2_prev3_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t153310p0000-A/s2_-90_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t153310p0000-A/s2_-360_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t153310p0000-A/resized_512x512.tif
GAO20191010t153310p0000-B,ok,,36,36,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t153310p0000-B/s2_0_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t153310p0000-B/s2_-7_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t153310p0000-B/s2_prev2_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t153310p0000-B/s2_prev3_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t153310p0000-B/s2_-90_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t153310p0000-B/s2_-360_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t153310p0000-B/resized_512x512.tif
GAO20191010t153310p0000-C,ok,,99,59,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t153310p0000-C/s2_0_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t153310p0000-C/s2_-7_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t153310p0000-C/s2_prev2_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t153310p0000-C/s2_prev3_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t153310p0000-C/s2_-90_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t153310p0000-C/s2_-360_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t153310p0000-C/resized_512x512.tif
GAO20191010t153310p0000-D,ok,,26,26,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t153310p0000-D/s2_0_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t153310p0000-D/s2_-7_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t153310p0000-D/s2_prev2_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t153310p0000-D/s2_prev3_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t153310p0000-D/s2_-90_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t153310p0000-D/s2_-360_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t153310p0000-D/resized_512x512.tif
GAO20191010t153310p0000-E,ok,,12,12,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t153310p0000-E/s2_0_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t153310p0000-E/s2_-7_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t153310p0000-E/s2_prev2_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t153310p0000-E/s2_prev3_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t153310p0000-E/s2_-90_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t153310p0000-E/s2_-360_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t153310p0000-E/resized_512x512.tif
GAO20191010t153310p0000-F,ok,,22,22,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t153310p0000-F/s2_0_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t153310p0000-F/s2_-7_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t153310p0000-F/s2_prev2_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t153310p0000-F/s2_prev3_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t153310p0000-F/s2_-90_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t153310p0000-F/s2_-360_std_512.tif,/diniuvol/yuyao/s2_gee_legacy_notebook_6time_std512/GAO20191010t153310p0000-F/resized_512x512.tif
