plume_id,status,reason
GAO20191010t145854p0000-A,ok,
GAO20191010t145854p0000-B,ok,
GAO20191010t145854p0000-C,ok,
GAO20191010t151827p0000-A,ok,
GAO20191010t153310p0000-A,ok,
GAO20191010t153310p0000-B,ok,
GAO20191010t153310p0000-C,ok,
GAO20191010t153310p0000-D,ok,
GAO20191010t153310p0000-E,ok,
GAO20191010t153310p0000-F,ok,
GAO20191010t153310p0000-G,ok,
GAO20191010t153310p0000-H,ok,
GAO20191010t155244p0000-A,ok,
GAO20191010t155244p0000-B,ok,
GAO20191010t155244p0000-C,ok,
GAO20191010t155244p0000-D,ok,
GAO20191010t155244p0000-E,ok,
GAO20191010t160715p0000-A,ok,
GAO20191010t160715p0000-B,ok,
GAO20191010t160715p0000-C,ok,
GAO20191010t162620p0000-A,ok,
GAO20191010t162620p0000-B,ok,
GAO20191010t162620p0000-C,ok,
GAO20191010t162620p0000-D,ok,
GAO20191010t162620p0000-E,ok,
GAO20191010t162620p0000-F,ok,
GAO20191010t162620p0000-G,ok,
GAO20191010t162620p0000-H,ok,
GAO20191010t164043p0000-A,ok,
GAO20191010t164043p0000-B,ok,
GAO20191010t164043p0000-C,ok,
GAO20191010t164043p0000-D,ok,
GAO20191010t164043p0000-E,ok,
GAO20191010t164043p0000-F,ok,
GAO20191010t164043p0000-G,ok,
GAO20191010t164043p0000-H,ok,
GAO20191010t164043p0000-I,ok,
GAO20191010t164043p0000-J,ok,
GAO20191010t164043p0000-K,ok,
GAO20191010t164043p0000-L,ok,
GAO20191010t164043p0000-M,ok,
GAO20191010t164043p0000-N,ok,
GAO20191010t164043p0000-O,ok,
GAO20191010t164043p0000-P,ok,
GAO20191010t170025p0000-A,ok,
GAO20191010t170025p0000-B,ok,
GAO20191010t170025p0000-C,ok,
GAO20191010t170025p0000-D,ok,
GAO20191010t170025p0000-E,ok,
GAO20191010t170025p0000-F,ok,
GAO20191010t170025p0000-G,ok,
GAO20191010t170025p0000-H,ok,
GAO20191010t170025p0000-I,ok,
GAO20191010t170025p0000-J,ok,
GAO20191010t170025p0000-K,ok,
GAO20191010t171502p0000-A,ok,
GAO20191010t171502p0000-B,ok,
GAO20191010t171502p0000-C,ok,
GAO20191010t171502p0000-D,ok,
GAO20191010t171502p0000-E,ok,
GAO20191010t171502p0000-F,ok,
GAO20191010t171502p0000-G,ok,
GAO20191010t171502p0000-H,ok,
GAO20191010t171502p0000-I,ok,
GAO20191010t171502p0000-J,ok,
GAO20191010t171502p0000-K,ok,
GAO20191010t171502p0000-L,ok,
GAO20191010t171502p0000-M,ok,
GAO20191010t171502p0000-N,ok,
GAO20191010t171502p0000-O,ok,
GAO20191012t175419p0000-A,ok,
GAO20191012t185226p0000-B,ok,
GAO20191013t170924p0000-A,ok,
GAO20191017t182001p0000-A,ok,
GAO20191017t183338p0000-C,ok,
GAO20191017t183338p0000-E,ok,
GAO20191017t183338p0000-J,ok,
GAO20191017t184807p0000-A,ok,
GAO20191017t190156p0000-D,ok,
GAO20191018t155430p0000-A,ok,
GAO20191018t155430p0000-B,ok,
GAO20191018t160542p0000-A,ok,
GAO20191018t160542p0000-B,ok,
GAO20191018t162013p0000-A,ok,
GAO20191018t162013p0000-B,ok,
GAO20191018t162013p0000-C,ok,
GAO20191018t162013p0000-D,ok,
GAO20191018t163314p0000-A,ok,
GAO20191018t163314p0000-B,ok,
GAO20191018t163314p0000-C,ok,
GAO20191018t163314p0000-D,ok,
GAO20191018t164922p0000-A,ok,
GAO20191018t164922p0000-B,ok,
GAO20191018t170521p0000-A,ok,
GAO20191018t170521p0000-B,ok,
GAO20191018t170521p0000-C,ok,
