plume_id,event_group_id,split
GAO20191020t171158p0000-A,GAO20191020t171158p0000,train
GAO20191020t171158p0000-B,GAO20191020t171158p0000,train
GAO20191020t171158p0000-C,GAO20191020t171158p0000,train
GAO20191020t171158p0000-D,GAO20191020t171158p0000,train
GAO20191020t171158p0000-E,GAO20191020t171158p0000,train
GAO20191020t171158p0000-F,GAO20191020t171158p0000,train
GAO20200714t160234p0000-A,GAO20200714t160234p0000,train
GAO20200714t160234p0000-B,GAO20200714t160234p0000,train
GAO20200714t160234p0000-C,GAO20200714t160234p0000,train
GAO20200714t160234p0000-D,GAO20200714t160234p0000,train
GAO20200714t160234p0000-E,GAO20200714t160234p0000,train
GAO20200714t160234p0000-F,GAO20200714t160234p0000,train
GAO20200714t160234p0000-G,GAO20200714t160234p0000,train
GAO20200719t160007p0000-A,GAO20200719t160007p0000,train
GAO20200719t160007p0000-B,GAO20200719t160007p0000,train
GAO20200719t160007p0000-C,GAO20200719t160007p0000,train
GAO20200719t170604p0000-A,GAO20200719t170604p0000,train
GAO20200719t170604p0000-B,GAO20200719t170604p0000,train
GAO20200719t170604p0000-C,GAO20200719t170604p0000,train
GAO20200719t170604p0000-D,GAO20200719t170604p0000,train
GAO20200719t170604p0000-E,GAO20200719t170604p0000,train
GAO20200719t171956p0000-A,GAO20200719t171956p0000,train
GAO20200719t171956p0000-B,GAO20200719t171956p0000,train
GAO20200719t171956p0000-C,GAO20200719t171956p0000,train
GAO20230618t183446p0000-A,GAO20230618t183446p0000,train
ang20180919t182318-A,ang20180919t182318,train
ang20180919t182318-B,ang20180919t182318,train
ang20180919t183420-A,ang20180919t183420,train
ang20180919t183420-B,ang20180919t183420,train
ang20180919t184533-A,ang20180919t184533,train
ang20180919t184533-B,ang20180919t184533,train
ang20200715t182251-1,ang20200715t182251,train
ang20200715t182251-2,ang20200715t182251,train
ang20200715t182251-A,ang20200715t182251,train
ang20200715t182251-B,ang20200715t182251,train
ang20200715t182251-C,ang20200715t182251,train
ang20200715t182251-D,ang20200715t182251,train
ang20200715t182251-E,ang20200715t182251,train
