plume_id,event_group_id,reason,wrong_t0_path
GAO20191026t150956p0000-C,GAO20191026t150956p0000,historical_cdse0_t0_missing,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/GAO20191026t150956p0000-C/s2_std_512.tif
GAO20191026t152429p0000-A,GAO20191026t152429p0000,historical_cdse0_t0_missing,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/GAO20191026t152429p0000-A/s2_std_512.tif
GAO20191026t153935p0000-B,GAO20191026t153935p0000,historical_cdse0_t0_missing,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/GAO20191026t153935p0000-B/s2_std_512.tif
GAO20191026t153935p0000-C,GAO20191026t153935p0000,historical_cdse0_t0_missing,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/GAO20191026t153935p0000-C/s2_std_512.tif
GAO20191026t153935p0000-D,GAO20191026t153935p0000,historical_cdse0_t0_missing,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/GAO20191026t153935p0000-D/s2_std_512.tif
GAO20191026t155411p0000-B,GAO20191026t155411p0000,historical_cdse0_t0_missing,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/GAO20191026t155411p0000-B/s2_std_512.tif
GAO20191026t155411p0000-C,GAO20191026t155411p0000,historical_cdse0_t0_missing,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/GAO20191026t155411p0000-C/s2_std_512.tif
GAO20191026t155411p0000-D,GAO20191026t155411p0000,historical_cdse0_t0_missing,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/GAO20191026t155411p0000-D/s2_std_512.tif
GAO20191026t160858p0000-B,GAO20191026t160858p0000,historical_cdse0_t0_missing,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/GAO20191026t160858p0000-B/s2_std_512.tif
GAO20191026t162331p0000-A,GAO20191026t162331p0000,historical_cdse0_t0_missing,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/GAO20191026t162331p0000-A/s2_std_512.tif
GAO20191026t162331p0000-B,GAO20191026t162331p0000,historical_cdse0_t0_missing,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/GAO20191026t162331p0000-B/s2_std_512.tif
GAO20191026t162331p0000-C,GAO20191026t162331p0000,historical_cdse0_t0_missing,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/GAO20191026t162331p0000-C/s2_std_512.tif
GAO20191026t162331p0000-E,GAO20191026t162331p0000,historical_cdse0_t0_missing,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/GAO20191026t162331p0000-E/s2_std_512.tif
GAO20191026t163805p0000-D,GAO20191026t163805p0000,historical_cdse0_t0_missing,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/GAO20191026t163805p0000-D/s2_std_512.tif
GAO20191026t163805p0000-E,GAO20191026t163805p0000,historical_cdse0_t0_missing,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/GAO20191026t163805p0000-E/s2_std_512.tif
GAO20200714t173902p0000-B,GAO20200714t173902p0000,historical_cdse0_t0_missing,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/GAO20200714t173902p0000-B/s2_std_512.tif
GAO20200724t154613p0000-E,GAO20200724t154613p0000,historical_cdse0_t0_missing,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/GAO20200724t154613p0000-E/s2_std_512.tif
GAO20200724t154613p0000-F,GAO20200724t154613p0000,historical_cdse0_t0_missing,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/GAO20200724t154613p0000-F/s2_std_512.tif
GAO20200724t155931p0000-B,GAO20200724t155931p0000,historical_cdse0_t0_missing,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/GAO20200724t155931p0000-B/s2_std_512.tif
GAO20200724t170724p0000-D,GAO20200724t170724p0000,historical_cdse0_t0_missing,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/GAO20200724t170724p0000-D/s2_std_512.tif
GAO20200724t173337p0000-B,GAO20200724t173337p0000,historical_cdse0_t0_missing,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/GAO20200724t173337p0000-B/s2_std_512.tif
GAO20200728t161314p0000-B,GAO20200728t161314p0000,historical_cdse0_t0_missing,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/GAO20200728t161314p0000-B/s2_std_512.tif
GAO20210513t155053p0000-1,GAO20210513t155053p0000,historical_cdse0_t0_missing,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/GAO20210513t155053p0000-1/s2_std_512.tif
GAO20210808t155515p0000-A,GAO20210808t155515p0000,historical_cdse0_t0_missing,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/GAO20210808t155515p0000-A/s2_std_512.tif
GAO20210808t161252p0000-A,GAO20210808t161252p0000,historical_cdse0_t0_missing,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/GAO20210808t161252p0000-A/s2_std_512.tif
GAO20210808t171028p0000-A,GAO20210808t171028p0000,historical_cdse0_t0_missing,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/GAO20210808t171028p0000-A/s2_std_512.tif
GAO20220422t162854p0000-B,GAO20220422t162854p0000,historical_cdse0_t0_missing,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/GAO20220422t162854p0000-B/s2_std_512.tif
GAO20240415t184413p0000-A,GAO20240415t184413p0000,historical_cdse0_t0_missing,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/GAO20240415t184413p0000-A/s2_std_512.tif
GAO20240415t184413p0000-B,GAO20240415t184413p0000,historical_cdse0_t0_missing,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/GAO20240415t184413p0000-B/s2_std_512.tif
GAO20240415t184413p0000-C,GAO20240415t184413p0000,historical_cdse0_t0_missing,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/GAO20240415t184413p0000-C/s2_std_512.tif
GAO20240420t184615p0000-B,GAO20240420t184615p0000,historical_cdse0_t0_missing,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/GAO20240420t184615p0000-B/s2_std_512.tif
GAO20240420t184615p0000-C,GAO20240420t184615p0000,historical_cdse0_t0_missing,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360_fixed_512/GAO20240420t184615p0000-C/s2_std_512.tif
