plume_id,split,timepoint
GAO20200714t172448p0000-H,train,seasonal
GAO20200724t155931p0000-A,train,seasonal
GAO20200724t161329p0000-B,train,seasonal
GAO20200724t161329p0000-C,train,seasonal
GAO20200724t165348p0000-B,train,seasonal
GAO20200728t174227p0000-A,train,seasonal
GAO20200807t163414p0000-A,train,seasonal
GAO20201120t182953p0000-2,train,seasonal
GAO20210720t174343p0000-A,train,seasonal
GAO20211007t161356p0000-D,train,seasonal
GAO20230612t170617p0000-A,train,seasonal
GAO20240415t172403p0000-A,train,seasonal
GAO20240415t172403p0000-B,train,seasonal
GAO20240415t172403p0000-C,train,seasonal
GAO20240415t172403p0000-D,train,seasonal
GAO20240415t175128p0000-A,train,seasonal
GAO20240415t175128p0000-C,train,seasonal
GAO20240415t175128p0000-D,train,seasonal
GAO20240415t175128p0000-E,train,seasonal
GAO20240415t181759p0000-A,train,seasonal
GAO20240415t181759p0000-B,train,seasonal
GAO20240415t181759p0000-C,train,seasonal
GAO20240415t181759p0000-D,train,seasonal
GAO20240420t182155p0000-C,train,seasonal
GAO20240420t183810p0000-B,train,seasonal
ang20200715t172416-2,train,seasonal
emi20220901t034652p03009-B,train,seasonal
emi20230629t013516p01007-A,train,seasonal
emi20230629t044101p03007-C,train,seasonal
emi20231010t052236p04020-A,train,seasonal
emi20231224t174522p12005-A,train,seasonal
emi20241005t160604p11012-A,train,seasonal
emi20250608t011656p01007-A,train,seasonal
emi20250608t011708p01008-L,train,seasonal
tan20250812t075729c11s4001-B,train,seasonal
tan20250812t075729c11s4001-C,train,seasonal
tan20250821t112530c67s4001-A,train,seasonal
tan20250821t112530c67s4001-B,train,seasonal
GAO20200714t172448p0000-H,train,year
GAO20200724t155931p0000-A,train,year
GAO20200724t161329p0000-B,train,year
GAO20200724t161329p0000-C,train,year
GAO20200724t165348p0000-B,train,year
GAO20200728t174227p0000-A,train,year
GAO20200807t163414p0000-A,train,year
GAO20201120t182953p0000-2,train,year
GAO20210720t174343p0000-A,train,year
GAO20211007t161356p0000-D,train,year
GAO20230612t170617p0000-A,train,year
GAO20240415t172403p0000-A,train,year
GAO20240415t172403p0000-B,train,year
GAO20240415t172403p0000-C,train,year
GAO20240415t172403p0000-D,train,year
GAO20240415t175128p0000-A,train,year
GAO20240415t175128p0000-C,train,year
GAO20240415t175128p0000-D,train,year
GAO20240415t175128p0000-E,train,year
GAO20240415t181759p0000-A,train,year
GAO20240415t181759p0000-B,train,year
GAO20240415t181759p0000-C,train,year
GAO20240415t181759p0000-D,train,year
GAO20240420t182155p0000-C,train,year
GAO20240420t183810p0000-B,train,year
ang20200715t172416-2,train,year
emi20220901t034652p03009-B,train,year
emi20230629t013516p01007-A,train,year
emi20230629t044101p03007-C,train,year
emi20231010t052236p04020-A,train,year
emi20231224t174522p12005-A,train,year
emi20241005t160604p11012-A,train,year
emi20250608t011656p01007-A,train,year
emi20250608t011708p01008-L,train,year
tan20250812t075729c11s4001-B,train,year
tan20250812t075729c11s4001-C,train,year
tan20250821t112530c67s4001-A,train,year
tan20250821t112530c67s4001-B,train,year
