plume_id,event_group_id,event_time,datetime,plume_latitude,plume_longitude,plume_bounds,cohort,t0_image_time,prev1_image_time,prev2_image_time,prev3_image_time,seasonal_image_time,year_image_time,legacy_mask_path,raw_cm_mask_path,legacy_t0_512_path,cdse_t0_512_path,has_cdse_t0,gee_t0_raw_path,has_gee_t0,s2_0_std_512,legacy_prev1_512_path,cdse_prev1_512_path,has_cdse_prev1,gee_prev1_raw_path,has_gee_prev1,s2_-7_std_512,legacy_prev2_512_path,cdse_prev2_512_path,has_cdse_prev2,gee_prev2_raw_path,has_gee_prev2,s2_prev2_std_512,legacy_prev3_512_path,cdse_prev3_512_path,has_cdse_prev3,gee_prev3_raw_path,has_gee_prev3,s2_prev3_std_512,legacy_seasonal_512_path,cdse_seasonal_512_path,has_cdse_seasonal,gee_seasonal_raw_path,has_gee_seasonal,s2_-90_std_512,legacy_year_512_path,cdse_year_512_path,has_cdse_year,gee_year_raw_path,has_gee_year,s2_-360_std_512,has_required_legacy3,has_required_gee,has_required_cdse6,has_raw_cm_mask,has_legacy_mask,has_usable_mask,has_required_images,ready_for_512,original_plume_latitude,original_plume_longitude
GAO20191020t151740p0000-A,GAO20191020t151740p0000,2019-10-20T15:17:40+00:00,2019-10-20T15:17:40+00:00,31.09087941165365,-101.34024203852867,"[-101.34522529859035, 31.08661200040691, -101.335258778467, 31.09514682290039]",legacy_existing3_plus_gee_prev123,2019-10-20T17:35:22+00:00,,,,2019-07-22T15:17:40+00:00,2018-10-25T15:17:40+00:00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360/GAO20191020t151740p0000-A/resized_512x512.tif,/mnt/engg-niulab/yuyao/sensors_raw_data/CM/GAO20191020t151740p0000-A/plume.tif,/mnt/engg-niulab/yuyao/preprocessed_512/S2/GAO20191020t151740p0000-A/s2_0_std_512.tif,,0,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/t0/GAO20191020t151740p0000-A/s2_0.tif,0,/mnt/engg-niulab/yuyao/preprocessed_512/S2_6time_legacy_exact/GAO20191020t151740p0000-A/s2_0_std_512.tif,,,0,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191020t151740p0000-A/s2_prev1.tif,0,/mnt/engg-niulab/yuyao/preprocessed_512/S2_6time_legacy_exact/GAO20191020t151740p0000-A/s2_-7_std_512.tif,,,0,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev2/GAO20191020t151740p0000-A/s2_prev2.tif,0,/mnt/engg-niulab/yuyao/preprocessed_512/S2_6time_legacy_exact/GAO20191020t151740p0000-A/s2_prev2_std_512.tif,,,0,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev3/GAO20191020t151740p0000-A/s2_prev3.tif,0,/mnt/engg-niulab/yuyao/preprocessed_512/S2_6time_legacy_exact/GAO20191020t151740p0000-A/s2_prev3_std_512.tif,/mnt/engg-niulab/yuyao/preprocessed_512/S2/GAO20191020t151740p0000-A/s2_-90_std_512.tif,,0,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/seasonal/GAO20191020t151740p0000-A/s2_seasonal.tif,0,/mnt/engg-niulab/yuyao/preprocessed_512/S2_6time_legacy_exact/GAO20191020t151740p0000-A/s2_-90_std_512.tif,/mnt/engg-niulab/yuyao/preprocessed_512/S2/GAO20191020t151740p0000-A/s2_-360_std_512.tif,,0,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/year/GAO20191020t151740p0000-A/s2_year.tif,0,/mnt/engg-niulab/yuyao/preprocessed_512/S2_6time_legacy_exact/GAO20191020t151740p0000-A/s2_-360_std_512.tif,1,0,1,1,1,1,0,0,31.087769,-101.34025
GAO20191020t153619p0000-A,GAO20191020t153619p0000,2019-10-20T15:36:19+00:00,2019-10-20T15:36:19+00:00,31.058174318744854,-101.86316759050858,"[-101.86588378188989, 31.05582727678369, -101.86045139912727, 31.06052136070602]",legacy_existing3_plus_gee_prev123,2019-10-20T17:35:22+00:00,,,,2019-07-22T15:36:19+00:00,2018-10-25T15:36:19+00:00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360/GAO20191020t153619p0000-A/resized_512x512.tif,/mnt/engg-niulab/yuyao/sensors_raw_data/CM/GAO20191020t153619p0000-A/plume.tif,/mnt/engg-niulab/yuyao/preprocessed_512/S2/GAO20191020t153619p0000-A/s2_0_std_512.tif,,0,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/t0/GAO20191020t153619p0000-A/s2_0.tif,0,/mnt/engg-niulab/yuyao/preprocessed_512/S2_6time_legacy_exact/GAO20191020t153619p0000-A/s2_0_std_512.tif,,,0,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191020t153619p0000-A/s2_prev1.tif,0,/mnt/engg-niulab/yuyao/preprocessed_512/S2_6time_legacy_exact/GAO20191020t153619p0000-A/s2_-7_std_512.tif,,,0,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev2/GAO20191020t153619p0000-A/s2_prev2.tif,0,/mnt/engg-niulab/yuyao/preprocessed_512/S2_6time_legacy_exact/GAO20191020t153619p0000-A/s2_prev2_std_512.tif,,,0,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev3/GAO20191020t153619p0000-A/s2_prev3.tif,0,/mnt/engg-niulab/yuyao/preprocessed_512/S2_6time_legacy_exact/GAO20191020t153619p0000-A/s2_prev3_std_512.tif,/mnt/engg-niulab/yuyao/preprocessed_512/S2/GAO20191020t153619p0000-A/s2_-90_std_512.tif,,0,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/seasonal/GAO20191020t153619p0000-A/s2_seasonal.tif,0,/mnt/engg-niulab/yuyao/preprocessed_512/S2_6time_legacy_exact/GAO20191020t153619p0000-A/s2_-90_std_512.tif,/mnt/engg-niulab/yuyao/preprocessed_512/S2/GAO20191020t153619p0000-A/s2_-360_std_512.tif,,0,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/year/GAO20191020t153619p0000-A/s2_year.tif,0,/mnt/engg-niulab/yuyao/preprocessed_512/S2_6time_legacy_exact/GAO20191020t153619p0000-A/s2_-360_std_512.tif,1,0,1,1,1,1,0,0,31.058043,-101.86319
GAO20191020t153619p0000-B,GAO20191020t153619p0000,2019-10-20T15:36:19+00:00,2019-10-20T15:36:19+00:00,31.064145160616025,-101.50454293411454,"[-101.507258545615, 31.061818994538637, -101.50182732261408, 31.066471326693414]",legacy_existing3_plus_gee_prev123,2019-10-20T17:35:22+00:00,,,,2019-07-22T15:36:19+00:00,2018-10-25T15:36:19+00:00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360/GAO20191020t153619p0000-B/resized_512x512.tif,/mnt/engg-niulab/yuyao/sensors_raw_data/CM/GAO20191020t153619p0000-B/plume.tif,/mnt/engg-niulab/yuyao/preprocessed_512/S2/GAO20191020t153619p0000-B/s2_0_std_512.tif,,0,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/t0/GAO20191020t153619p0000-B/s2_0.tif,0,/mnt/engg-niulab/yuyao/preprocessed_512/S2_6time_legacy_exact/GAO20191020t153619p0000-B/s2_0_std_512.tif,,,0,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191020t153619p0000-B/s2_prev1.tif,0,/mnt/engg-niulab/yuyao/preprocessed_512/S2_6time_legacy_exact/GAO20191020t153619p0000-B/s2_-7_std_512.tif,,,0,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev2/GAO20191020t153619p0000-B/s2_prev2.tif,0,/mnt/engg-niulab/yuyao/preprocessed_512/S2_6time_legacy_exact/GAO20191020t153619p0000-B/s2_prev2_std_512.tif,,,0,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev3/GAO20191020t153619p0000-B/s2_prev3.tif,0,/mnt/engg-niulab/yuyao/preprocessed_512/S2_6time_legacy_exact/GAO20191020t153619p0000-B/s2_prev3_std_512.tif,/mnt/engg-niulab/yuyao/preprocessed_512/S2/GAO20191020t153619p0000-B/s2_-90_std_512.tif,,0,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/seasonal/GAO20191020t153619p0000-B/s2_seasonal.tif,0,/mnt/engg-niulab/yuyao/preprocessed_512/S2_6time_legacy_exact/GAO20191020t153619p0000-B/s2_-90_std_512.tif,/mnt/engg-niulab/yuyao/preprocessed_512/S2/GAO20191020t153619p0000-B/s2_-360_std_512.tif,,0,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/year/GAO20191020t153619p0000-B/s2_year.tif,0,/mnt/engg-niulab/yuyao/preprocessed_512/S2_6time_legacy_exact/GAO20191020t153619p0000-B/s2_-360_std_512.tif,1,0,1,1,1,1,0,0,31.062984,-101.50541
GAO20191020t153619p0000-C,GAO20191020t153619p0000,2019-10-20T15:36:19+00:00,2019-10-20T15:36:19+00:00,31.075460088640476,-101.39615261573559,"[-101.39886839288523, 31.07311383109635, -101.39343683858596, 31.0778063461846]",legacy_existing3_plus_gee_prev123,2019-10-20T17:35:22+00:00,,,,2019-07-22T15:36:19+00:00,2018-10-25T15:36:19+00:00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360/GAO20191020t153619p0000-C/resized_512x512.tif,/mnt/engg-niulab/yuyao/sensors_raw_data/CM/GAO20191020t153619p0000-C/plume.tif,/mnt/engg-niulab/yuyao/preprocessed_512/S2/GAO20191020t153619p0000-C/s2_0_std_512.tif,,0,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/t0/GAO20191020t153619p0000-C/s2_0.tif,0,/mnt/engg-niulab/yuyao/preprocessed_512/S2_6time_legacy_exact/GAO20191020t153619p0000-C/s2_0_std_512.tif,,,0,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191020t153619p0000-C/s2_prev1.tif,0,/mnt/engg-niulab/yuyao/preprocessed_512/S2_6time_legacy_exact/GAO20191020t153619p0000-C/s2_-7_std_512.tif,,,0,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev2/GAO20191020t153619p0000-C/s2_prev2.tif,0,/mnt/engg-niulab/yuyao/preprocessed_512/S2_6time_legacy_exact/GAO20191020t153619p0000-C/s2_prev2_std_512.tif,,,0,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev3/GAO20191020t153619p0000-C/s2_prev3.tif,0,/mnt/engg-niulab/yuyao/preprocessed_512/S2_6time_legacy_exact/GAO20191020t153619p0000-C/s2_prev3_std_512.tif,/mnt/engg-niulab/yuyao/preprocessed_512/S2/GAO20191020t153619p0000-C/s2_-90_std_512.tif,,0,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/seasonal/GAO20191020t153619p0000-C/s2_seasonal.tif,0,/mnt/engg-niulab/yuyao/preprocessed_512/S2_6time_legacy_exact/GAO20191020t153619p0000-C/s2_-90_std_512.tif,/mnt/engg-niulab/yuyao/preprocessed_512/S2/GAO20191020t153619p0000-C/s2_-360_std_512.tif,,0,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/year/GAO20191020t153619p0000-C/s2_year.tif,0,/mnt/engg-niulab/yuyao/preprocessed_512/S2_6time_legacy_exact/GAO20191020t153619p0000-C/s2_-360_std_512.tif,1,0,1,1,1,1,0,0,31.0748638,-101.39618
GAO20191020t153619p0000-D,GAO20191020t153619p0000,2019-10-20T15:36:19+00:00,2019-10-20T15:36:19+00:00,31.08860382091903,-101.34001133312812,"[-101.3427508498363, 31.08625778152686, -101.33727181641993, 31.0909498603112]",legacy_existing3_plus_gee_prev123,2019-10-20T17:35:22+00:00,,,,2019-07-22T15:36:19+00:00,2018-10-25T15:36:19+00:00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360/GAO20191020t153619p0000-D/resized_512x512.tif,/mnt/engg-niulab/yuyao/sensors_raw_data/CM/GAO20191020t153619p0000-D/plume.tif,/mnt/engg-niulab/yuyao/preprocessed_512/S2/GAO20191020t153619p0000-D/s2_0_std_512.tif,,0,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/t0/GAO20191020t153619p0000-D/s2_0.tif,0,/mnt/engg-niulab/yuyao/preprocessed_512/S2_6time_legacy_exact/GAO20191020t153619p0000-D/s2_0_std_512.tif,,,0,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191020t153619p0000-D/s2_prev1.tif,0,/mnt/engg-niulab/yuyao/preprocessed_512/S2_6time_legacy_exact/GAO20191020t153619p0000-D/s2_-7_std_512.tif,,,0,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev2/GAO20191020t153619p0000-D/s2_prev2.tif,0,/mnt/engg-niulab/yuyao/preprocessed_512/S2_6time_legacy_exact/GAO20191020t153619p0000-D/s2_prev2_std_512.tif,,,0,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev3/GAO20191020t153619p0000-D/s2_prev3.tif,0,/mnt/engg-niulab/yuyao/preprocessed_512/S2_6time_legacy_exact/GAO20191020t153619p0000-D/s2_prev3_std_512.tif,/mnt/engg-niulab/yuyao/preprocessed_512/S2/GAO20191020t153619p0000-D/s2_-90_std_512.tif,,0,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/seasonal/GAO20191020t153619p0000-D/s2_seasonal.tif,0,/mnt/engg-niulab/yuyao/preprocessed_512/S2_6time_legacy_exact/GAO20191020t153619p0000-D/s2_-90_std_512.tif,/mnt/engg-niulab/yuyao/preprocessed_512/S2/GAO20191020t153619p0000-D/s2_-360_std_512.tif,,0,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/year/GAO20191020t153619p0000-D/s2_year.tif,0,/mnt/engg-niulab/yuyao/preprocessed_512/S2_6time_legacy_exact/GAO20191020t153619p0000-D/s2_-360_std_512.tif,1,0,1,1,1,1,0,0,31.087929,-101.34022
GAO20191020t155133p0000-A,GAO20191020t155133p0000,2019-10-20T15:51:33+00:00,2019-10-20T15:51:33+00:00,31.06495963606814,-101.50715509972419,"[-101.51286981771827, 31.060064506819263, -101.5014403817301, 31.06985476531701]",legacy_existing3_plus_gee_prev123,2019-10-20T17:35:22+00:00,,,,2019-07-22T15:51:33+00:00,2018-10-25T15:51:33+00:00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360/GAO20191020t155133p0000-A/resized_512x512.tif,/mnt/engg-niulab/yuyao/sensors_raw_data/CM/GAO20191020t155133p0000-A/plume.tif,/mnt/engg-niulab/yuyao/preprocessed_512/S2/GAO20191020t155133p0000-A/s2_0_std_512.tif,,0,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/t0/GAO20191020t155133p0000-A/s2_0.tif,0,/mnt/engg-niulab/yuyao/preprocessed_512/S2_6time_legacy_exact/GAO20191020t155133p0000-A/s2_0_std_512.tif,,,0,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191020t155133p0000-A/s2_prev1.tif,0,/mnt/engg-niulab/yuyao/preprocessed_512/S2_6time_legacy_exact/GAO20191020t155133p0000-A/s2_-7_std_512.tif,,,0,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev2/GAO20191020t155133p0000-A/s2_prev2.tif,0,/mnt/engg-niulab/yuyao/preprocessed_512/S2_6time_legacy_exact/GAO20191020t155133p0000-A/s2_prev2_std_512.tif,,,0,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev3/GAO20191020t155133p0000-A/s2_prev3.tif,0,/mnt/engg-niulab/yuyao/preprocessed_512/S2_6time_legacy_exact/GAO20191020t155133p0000-A/s2_prev3_std_512.tif,/mnt/engg-niulab/yuyao/preprocessed_512/S2/GAO20191020t155133p0000-A/s2_-90_std_512.tif,,0,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/seasonal/GAO20191020t155133p0000-A/s2_seasonal.tif,0,/mnt/engg-niulab/yuyao/preprocessed_512/S2_6time_legacy_exact/GAO20191020t155133p0000-A/s2_-90_std_512.tif,/mnt/engg-niulab/yuyao/preprocessed_512/S2/GAO20191020t155133p0000-A/s2_-360_std_512.tif,,0,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/year/GAO20191020t155133p0000-A/s2_year.tif,0,/mnt/engg-niulab/yuyao/preprocessed_512/S2_6time_legacy_exact/GAO20191020t155133p0000-A/s2_-360_std_512.tif,1,0,1,1,1,1,0,0,31.0629493,-101.50558
GAO20191020t161013p0000-A,GAO20191020t161013p0000,2019-10-20T16:10:13+00:00,2019-10-20T16:10:13+00:00,31.02469949087131,-102.2425828641656,"[-102.24529861181102, 31.022372243977863, -102.23986711652016, 31.027026737764757]",legacy_existing3_plus_gee_prev123,2019-10-20T17:35:25+00:00,,,,2019-07-22T16:10:13+00:00,2018-10-25T16:10:13+00:00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360/GAO20191020t161013p0000-A/resized_512x512.tif,/mnt/engg-niulab/yuyao/sensors_raw_data/CM/GAO20191020t161013p0000-A/plume.tif,/mnt/engg-niulab/yuyao/preprocessed_512/S2/GAO20191020t161013p0000-A/s2_0_std_512.tif,,0,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/t0/GAO20191020t161013p0000-A/s2_0.tif,0,/mnt/engg-niulab/yuyao/preprocessed_512/S2_6time_legacy_exact/GAO20191020t161013p0000-A/s2_0_std_512.tif,,,0,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191020t161013p0000-A/s2_prev1.tif,0,/mnt/engg-niulab/yuyao/preprocessed_512/S2_6time_legacy_exact/GAO20191020t161013p0000-A/s2_-7_std_512.tif,,,0,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev2/GAO20191020t161013p0000-A/s2_prev2.tif,0,/mnt/engg-niulab/yuyao/preprocessed_512/S2_6time_legacy_exact/GAO20191020t161013p0000-A/s2_prev2_std_512.tif,,,0,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev3/GAO20191020t161013p0000-A/s2_prev3.tif,0,/mnt/engg-niulab/yuyao/preprocessed_512/S2_6time_legacy_exact/GAO20191020t161013p0000-A/s2_prev3_std_512.tif,/mnt/engg-niulab/yuyao/preprocessed_512/S2/GAO20191020t161013p0000-A/s2_-90_std_512.tif,,0,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/seasonal/GAO20191020t161013p0000-A/s2_seasonal.tif,0,/mnt/engg-niulab/yuyao/preprocessed_512/S2_6time_legacy_exact/GAO20191020t161013p0000-A/s2_-90_std_512.tif,/mnt/engg-niulab/yuyao/preprocessed_512/S2/GAO20191020t161013p0000-A/s2_-360_std_512.tif,,0,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/year/GAO20191020t161013p0000-A/s2_year.tif,0,/mnt/engg-niulab/yuyao/preprocessed_512/S2_6time_legacy_exact/GAO20191020t161013p0000-A/s2_-360_std_512.tif,1,0,1,1,1,1,0,0,31.0243397,-102.24257
GAO20191020t161013p0000-B,GAO20191020t161013p0000,2019-10-20T16:10:13+00:00,2019-10-20T16:10:13+00:00,31.02369242412083,-102.24388470987881,"[-102.24660049770408, 31.021344880750757, -102.24116892205356, 31.02603996749091]",legacy_existing3_plus_gee_prev123,2019-10-20T17:35:25+00:00,,,,2019-07-22T16:10:13+00:00,2018-10-25T16:10:13+00:00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360/GAO20191020t161013p0000-B/resized_512x512.tif,/mnt/engg-niulab/yuyao/sensors_raw_data/CM/GAO20191020t161013p0000-B/plume.tif,/mnt/engg-niulab/yuyao/preprocessed_512/S2/GAO20191020t161013p0000-B/s2_0_std_512.tif,,0,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/t0/GAO20191020t161013p0000-B/s2_0.tif,0,/mnt/engg-niulab/yuyao/preprocessed_512/S2_6time_legacy_exact/GAO20191020t161013p0000-B/s2_0_std_512.tif,,,0,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191020t161013p0000-B/s2_prev1.tif,0,/mnt/engg-niulab/yuyao/preprocessed_512/S2_6time_legacy_exact/GAO20191020t161013p0000-B/s2_-7_std_512.tif,,,0,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev2/GAO20191020t161013p0000-B/s2_prev2.tif,0,/mnt/engg-niulab/yuyao/preprocessed_512/S2_6time_legacy_exact/GAO20191020t161013p0000-B/s2_prev2_std_512.tif,,,0,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev3/GAO20191020t161013p0000-B/s2_prev3.tif,0,/mnt/engg-niulab/yuyao/preprocessed_512/S2_6time_legacy_exact/GAO20191020t161013p0000-B/s2_prev3_std_512.tif,/mnt/engg-niulab/yuyao/preprocessed_512/S2/GAO20191020t161013p0000-B/s2_-90_std_512.tif,,0,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/seasonal/GAO20191020t161013p0000-B/s2_seasonal.tif,0,/mnt/engg-niulab/yuyao/preprocessed_512/S2_6time_legacy_exact/GAO20191020t161013p0000-B/s2_-90_std_512.tif,/mnt/engg-niulab/yuyao/preprocessed_512/S2/GAO20191020t161013p0000-B/s2_-360_std_512.tif,,0,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/year/GAO20191020t161013p0000-B/s2_year.tif,0,/mnt/engg-niulab/yuyao/preprocessed_512/S2_6time_legacy_exact/GAO20191020t161013p0000-B/s2_-360_std_512.tif,1,0,1,1,1,1,0,0,31.0234005,-102.24419
GAO20191020t163829p0000-A,GAO20191020t163829p0000,2019-10-20T16:38:29+00:00,2019-10-20T16:38:29+00:00,31.846953278498553,-101.77114410887373,"[-101.77540710669561, 31.843332029930266, -101.76688111105186, 31.850574527066836]",legacy_existing3_plus_gee_prev123,2019-10-20T17:35:08+00:00,,,,2019-07-22T16:38:29+00:00,2018-10-25T16:38:29+00:00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360/GAO20191020t163829p0000-A/resized_512x512.tif,/mnt/engg-niulab/yuyao/sensors_raw_data/CM/GAO20191020t163829p0000-A/plume.tif,/mnt/engg-niulab/yuyao/preprocessed_512/S2/GAO20191020t163829p0000-A/s2_0_std_512.tif,,0,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/t0/GAO20191020t163829p0000-A/s2_0.tif,0,/mnt/engg-niulab/yuyao/preprocessed_512/S2_6time_legacy_exact/GAO20191020t163829p0000-A/s2_0_std_512.tif,,,0,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191020t163829p0000-A/s2_prev1.tif,0,/mnt/engg-niulab/yuyao/preprocessed_512/S2_6time_legacy_exact/GAO20191020t163829p0000-A/s2_-7_std_512.tif,,,0,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev2/GAO20191020t163829p0000-A/s2_prev2.tif,0,/mnt/engg-niulab/yuyao/preprocessed_512/S2_6time_legacy_exact/GAO20191020t163829p0000-A/s2_prev2_std_512.tif,,,0,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev3/GAO20191020t163829p0000-A/s2_prev3.tif,0,/mnt/engg-niulab/yuyao/preprocessed_512/S2_6time_legacy_exact/GAO20191020t163829p0000-A/s2_prev3_std_512.tif,/mnt/engg-niulab/yuyao/preprocessed_512/S2/GAO20191020t163829p0000-A/s2_-90_std_512.tif,,0,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/seasonal/GAO20191020t163829p0000-A/s2_seasonal.tif,0,/mnt/engg-niulab/yuyao/preprocessed_512/S2_6time_legacy_exact/GAO20191020t163829p0000-A/s2_-90_std_512.tif,/mnt/engg-niulab/yuyao/preprocessed_512/S2/GAO20191020t163829p0000-A/s2_-360_std_512.tif,,0,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/year/GAO20191020t163829p0000-A/s2_year.tif,0,/mnt/engg-niulab/yuyao/preprocessed_512/S2_6time_legacy_exact/GAO20191020t163829p0000-A/s2_-360_std_512.tif,1,0,1,1,1,1,0,0,31.845004,-101.7723
GAO20191020t163829p0000-B,GAO20191020t163829p0000,2019-10-20T16:38:29+00:00,2019-10-20T16:38:29+00:00,31.830577011457187,-101.80765289921081,"[-101.81039130388783, 31.82823020063134, -101.8049144945338, 31.832923822283036]",legacy_existing3_plus_gee_prev123,2019-10-20T17:35:08+00:00,,,,2019-07-22T16:38:29+00:00,2018-10-25T16:38:29+00:00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_90360/GAO20191020t163829p0000-B/resized_512x512.tif,/mnt/engg-niulab/yuyao/sensors_raw_data/CM/GAO20191020t163829p0000-B/plume.tif,/mnt/engg-niulab/yuyao/preprocessed_512/S2/GAO20191020t163829p0000-B/s2_0_std_512.tif,,0,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/t0/GAO20191020t163829p0000-B/s2_0.tif,0,/mnt/engg-niulab/yuyao/preprocessed_512/S2_6time_legacy_exact/GAO20191020t163829p0000-B/s2_0_std_512.tif,,,0,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev1/GAO20191020t163829p0000-B/s2_prev1.tif,0,/mnt/engg-niulab/yuyao/preprocessed_512/S2_6time_legacy_exact/GAO20191020t163829p0000-B/s2_-7_std_512.tif,,,0,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev2/GAO20191020t163829p0000-B/s2_prev2.tif,0,/mnt/engg-niulab/yuyao/preprocessed_512/S2_6time_legacy_exact/GAO20191020t163829p0000-B/s2_prev2_std_512.tif,,,0,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/prev3/GAO20191020t163829p0000-B/s2_prev3.tif,0,/mnt/engg-niulab/yuyao/preprocessed_512/S2_6time_legacy_exact/GAO20191020t163829p0000-B/s2_prev3_std_512.tif,/mnt/engg-niulab/yuyao/preprocessed_512/S2/GAO20191020t163829p0000-B/s2_-90_std_512.tif,,0,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/seasonal/GAO20191020t163829p0000-B/s2_seasonal.tif,0,/mnt/engg-niulab/yuyao/preprocessed_512/S2_6time_legacy_exact/GAO20191020t163829p0000-B/s2_-90_std_512.tif,/mnt/engg-niulab/yuyao/preprocessed_512/S2/GAO20191020t163829p0000-B/s2_-360_std_512.tif,,0,/mnt/engg-niulab/yuyao/sensors_raw_data/S2_GEE_6time/year/GAO20191020t163829p0000-B/s2_year.tif,0,/mnt/engg-niulab/yuyao/preprocessed_512/S2_6time_legacy_exact/GAO20191020t163829p0000-B/s2_-360_std_512.tif,1,0,1,1,1,1,0,0,31.8299163,-101.80811
