plume_id,timepoint,status,task_id,task_state,drive_folder,file_prefix,collection,bands,target_time_utc,query_start_utc,query_end_utc,selected_time_utc,selected_id,cloud_pct,nodata_pct,plume_latitude,plume_longitude,message
GAO20191020t151740p0000-A,t0,dry_run,,,CM_S2_L2A_6TIME_GEE,GAO20191020t151740p0000-A_s2_0,COPERNICUS/S2_SR_HARMONIZED,"B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12",2019-10-20T17:35:22Z,2019-10-19T05:35:22Z,2019-10-22T05:35:22Z,2019-10-20T17:35:22Z,20191020T172341_20191020T173303_T14RKV,0.000309,0,31.087769,-101.34025,would submit; candidates=1; source=image_time
GAO20191020t151740p0000-A,year,dry_run,,,CM_S2_L2A_6TIME_GEE,GAO20191020t151740p0000-A_s2_year,COPERNICUS/S2_SR_HARMONIZED,"B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12",2018-10-25T15:17:40Z,2018-07-27T15:17:40Z,2019-01-23T15:17:40Z,2018-10-30T17:35:17Z,20181030T172439_20181030T173323_T14RKV,17.129402,0,31.087769,-101.34025,would submit; candidates=20; source=image_time_expanded_90d
GAO20191020t153619p0000-A,t0,dry_run,,,CM_S2_L2A_6TIME_GEE,GAO20191020t153619p0000-A_s2_0,COPERNICUS/S2_SR_HARMONIZED,"B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12",2019-10-20T17:35:22Z,2019-10-19T05:35:22Z,2019-10-22T05:35:22Z,2019-10-20T17:35:22Z,20191020T172341_20191020T173303_T14RKV,0.000309,0,31.058043,-101.86319,would submit; candidates=2; source=image_time
GAO20191020t151740p0000-A,seasonal,dry_run,,,CM_S2_L2A_6TIME_GEE,GAO20191020t151740p0000-A_s2_seasonal,COPERNICUS/S2_SR_HARMONIZED,"B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12",2019-07-22T15:17:40Z,2019-05-23T15:17:40Z,2019-09-20T15:17:40Z,2019-07-17T17:35:28Z,20190717T171909_20190717T172856_T14RKV,6.903945,0,31.087769,-101.34025,would submit; candidates=13; source=image_time_expanded_60d
GAO20191020t153619p0000-A,seasonal,dry_run,,,CM_S2_L2A_6TIME_GEE,GAO20191020t153619p0000-A_s2_seasonal,COPERNICUS/S2_SR_HARMONIZED,"B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12",2019-07-22T15:36:19Z,2019-05-23T15:36:19Z,2019-09-20T15:36:19Z,2019-07-17T17:35:30Z,20190717T171909_20190717T172856_T13RGQ,11.571305,17.830382,31.058043,-101.86319,would submit; candidates=26; source=image_time_expanded_60d
GAO20191020t153619p0000-A,year,dry_run,,,CM_S2_L2A_6TIME_GEE,GAO20191020t153619p0000-A_s2_year,COPERNICUS/S2_SR_HARMONIZED,"B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12",2018-10-25T15:36:19Z,2018-07-27T15:36:19Z,2019-01-23T15:36:19Z,2018-10-30T17:35:17Z,20181030T172439_20181030T173323_T14RKV,17.129402,0,31.058043,-101.86319,would submit; candidates=43; source=image_time_expanded_90d
GAO20191020t153619p0000-C,year,submitted,ZUJ7W2MAKFUOG3I4M2GV66MA,READY,CM_S2_L2A_6TIME_GEE,GAO20191020t153619p0000-C_s2_year,COPERNICUS/S2_SR_HARMONIZED,"B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12",2018-10-25T15:36:19Z,2018-07-27T15:36:19Z,2019-01-23T15:36:19Z,2018-10-30T17:35:17Z,20181030T172439_20181030T173323_T14RKV,17.129402,0,31.0748638,-101.39618,submitted; candidates=20; source=image_time_expanded_90d
GAO20191020t153619p0000-D,t0,submitted,MYM6UM7E7WGLK5FOO5PVBANY,READY,CM_S2_L2A_6TIME_GEE,GAO20191020t153619p0000-D_s2_0,COPERNICUS/S2_SR_HARMONIZED,"B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12",2019-10-20T17:35:22Z,2019-10-19T05:35:22Z,2019-10-22T05:35:22Z,2019-10-20T17:35:22Z,20191020T172341_20191020T173303_T14RKV,0.000309,0,31.087929,-101.34022,submitted; candidates=1; source=image_time
GAO20191020t153619p0000-B,year,submitted,OTXL4CNPNWDRPNRNSCZDRUAT,READY,CM_S2_L2A_6TIME_GEE,GAO20191020t153619p0000-B_s2_year,COPERNICUS/S2_SR_HARMONIZED,"B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12",2018-10-25T15:36:19Z,2018-07-27T15:36:19Z,2019-01-23T15:36:19Z,2018-10-30T17:35:17Z,20181030T172439_20181030T173323_T14RKV,17.129402,0,31.062984,-101.50541,submitted; candidates=20; source=image_time_expanded_90d
GAO20191020t153619p0000-A,t0,submitted,O4QD3L4O2ZHWIKLR4Z6IVCBS,READY,CM_S2_L2A_6TIME_GEE,GAO20191020t153619p0000-A_s2_0,COPERNICUS/S2_SR_HARMONIZED,"B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12",2019-10-20T17:35:22Z,2019-10-19T05:35:22Z,2019-10-22T05:35:22Z,2019-10-20T17:35:22Z,20191020T172341_20191020T173303_T14RKV,0.000309,0,31.058043,-101.86319,submitted; candidates=2; source=image_time
