plume_id,timepoint,status,task_id,task_state,drive_folder,file_prefix,collection,bands,target_time_utc,query_start_utc,query_end_utc,selected_time_utc,selected_id,cloud_pct,nodata_pct,plume_latitude,plume_longitude,message
GAO20191020t151740p0000-A,seasonal,dry_run,,,CM_S2_LEGACY360_MATCHED_GEE,GAO20191020t151740p0000-A_s2_seasonal,COPERNICUS/S2_SR_HARMONIZED,"B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12",,2019-07-22T00:00:00Z,2019-09-20T00:00:00Z,2019-07-27T17:35:27Z,20190727T171909_20190727T172917_T14RKV,3.433121,0,31.087769,-101.34025,would submit; candidates=8; source=legacy_seasonal_event_day_window
GAO20191020t153619p0000-A,t0,dry_run,,,CM_S2_LEGACY360_MATCHED_GEE,GAO20191020t153619p0000-A_s2_0,COPERNICUS/S2_SR_HARMONIZED,"B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12",2019-10-20T17:35:22Z,2019-10-19T00:00:00Z,2019-10-22T00:00:00Z,2019-10-20T17:35:22Z,20191020T172341_20191020T173303_T14RKV,0.000309,0,31.058043,-101.86319,would submit; candidates=2; source=legacy_t0_event_day_window
GAO20191020t151740p0000-A,t0,dry_run,,,CM_S2_LEGACY360_MATCHED_GEE,GAO20191020t151740p0000-A_s2_0,COPERNICUS/S2_SR_HARMONIZED,"B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12",2019-10-20T17:35:22Z,2019-10-19T00:00:00Z,2019-10-22T00:00:00Z,2019-10-20T17:35:22Z,20191020T172341_20191020T173303_T14RKV,0.000309,0,31.087769,-101.34025,would submit; candidates=1; source=legacy_t0_event_day_window
GAO20191020t151740p0000-A,year,dry_run,,,CM_S2_LEGACY360_MATCHED_GEE,GAO20191020t151740p0000-A_s2_year,COPERNICUS/S2_SR_HARMONIZED,"B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12",,2018-08-21T00:00:00Z,2018-11-19T00:00:00Z,2018-08-21T17:35:12Z,20180821T171849_20180821T172807_T14RKV,13.461535,0,31.087769,-101.34025,would submit; candidates=9; source=legacy_year_event_day_window
GAO20191020t153619p0000-A,year,dry_run,,,CM_S2_LEGACY360_MATCHED_GEE,GAO20191020t153619p0000-A_s2_year,COPERNICUS/S2_SR_HARMONIZED,"B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12",,2018-08-21T00:00:00Z,2018-11-19T00:00:00Z,2018-08-21T17:35:12Z,20180821T171849_20180821T172807_T14RKV,13.461535,0,31.058043,-101.86319,would submit; candidates=20; source=legacy_year_event_day_window
GAO20191020t153619p0000-A,seasonal,dry_run,,,CM_S2_LEGACY360_MATCHED_GEE,GAO20191020t153619p0000-A_s2_seasonal,COPERNICUS/S2_SR_HARMONIZED,"B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12",,2019-07-22T00:00:00Z,2019-09-20T00:00:00Z,2019-07-27T17:35:27Z,20190727T171909_20190727T172917_T14RKV,3.433121,0,31.058043,-101.86319,would submit; candidates=16; source=legacy_seasonal_event_day_window
GAO20191020t153619p0000-C,seasonal,submitted,7LIOS4NIVXSMYMJUXCSLSKMB,READY,CM_S2_LEGACY360_MATCHED_GEE,GAO20191020t153619p0000-C_s2_seasonal,COPERNICUS/S2_SR_HARMONIZED,"B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12",,2019-07-22T00:00:00Z,2019-09-20T00:00:00Z,2019-07-27T17:35:27Z,20190727T171909_20190727T172917_T14RKV,3.433121,0,31.0748638,-101.39618,submitted; candidates=8; source=legacy_seasonal_event_day_window
GAO20191020t153619p0000-C,year,submitted,ZT4MI4ZWWLZUDXFV2TGSQSW7,READY,CM_S2_LEGACY360_MATCHED_GEE,GAO20191020t153619p0000-C_s2_year,COPERNICUS/S2_SR_HARMONIZED,"B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12",,2018-08-21T00:00:00Z,2018-11-19T00:00:00Z,2018-08-21T17:35:12Z,20180821T171849_20180821T172807_T14RKV,13.461535,0,31.0748638,-101.39618,submitted; candidates=9; source=legacy_year_event_day_window
GAO20191020t151740p0000-A,t0,submitted,PS5JRQO23O3KGABMXVC6R6JF,READY,CM_S2_LEGACY360_MATCHED_GEE,GAO20191020t151740p0000-A_s2_0,COPERNICUS/S2_SR_HARMONIZED,"B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12",2019-10-20T17:35:22Z,2019-10-19T00:00:00Z,2019-10-22T00:00:00Z,2019-10-20T17:35:22Z,20191020T172341_20191020T173303_T14RKV,0.000309,0,31.087769,-101.34025,submitted; candidates=1; source=legacy_t0_event_day_window
GAO20191020t151740p0000-A,seasonal,submitted,TXO3DQDLQAABMWV3TO2NCXXT,READY,CM_S2_LEGACY360_MATCHED_GEE,GAO20191020t151740p0000-A_s2_seasonal,COPERNICUS/S2_SR_HARMONIZED,"B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12",,2019-07-22T00:00:00Z,2019-09-20T00:00:00Z,2019-07-27T17:35:27Z,20190727T171909_20190727T172917_T14RKV,3.433121,0,31.087769,-101.34025,submitted; candidates=8; source=legacy_seasonal_event_day_window
