id,plume_id,label,dx_anchor_px,dy_anchor_px,anchor_radius_sq,old_t0_path,new_t0_path,legacy_shape,new_gee_shape,grid_size,shift_y_to_apply_new_px,shift_x_to_apply_new_px,subpixel_shift_y_to_apply_new_px,subpixel_shift_x_to_apply_new_px,subpixel_shift_magnitude_px,subpixel_shift_magnitude_m,search_peak_correlation,before_valid_fraction,before_mae_dn,before_rmse_dn,before_mae_robust_z,before_rmse_robust_z,before_median_band_correlation,before_median_affine_nrmse,after_valid_fraction,after_mae_dn,after_rmse_dn,after_mae_robust_z,after_rmse_robust_z,after_median_band_correlation,after_median_affine_nrmse,mae_dn_ratio_after_before,rmse_robust_z_ratio_after_before
20,GAO20191020t151740p0000-A,1,-2,-5,29,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/finalDataset_query/legacy_param_360m/crops/group_00000020/s2_0.tif,/diniuvol/yuyao/s2_legacy360_matched_gee_crops36/group_00000020/s2_0.tif,12x224x224,12x36x36,36,11,18,10.900598337090466,18.0,21.043361045863836,210.43361045863836,0.2552708550604632,1.0,767.91015625,1167.0869140625,3.1746904850006104,5.4229583740234375,-0.11510278974748746,0.9933535864898992,1.0,553.7588500976562,858.558837890625,2.487927198410034,4.538293838500977,0.4354059329230377,0.9002342326169448,0.7211245294656256,0.8368668032267959
50,GAO20191020t153619p0000-A,1,0,4,16,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/finalDataset_query/legacy_param_360m/crops/group_00000050/s2_0.tif,/diniuvol/yuyao/s2_legacy360_matched_gee_crops36/group_00000050/s2_0.tif,12x224x224,12x36x36,36,-8,-7,-8.23973002096995,-6.939820638178812,10.772848337768709,107.72848337768708,0.24714765531566749,1.0,703.0678100585938,1075.804931640625,2.6085104942321777,4.904335021972656,-0.21186097507334356,0.9772998144075196,1.0,702.2612915039062,993.30322265625,2.8434009552001953,4.9869842529296875,0.2820110148928168,0.9594111670598395,0.9988528580840299,1.0168522808060099
24,GAO20191020t153619p0000-B,1,1,-4,17,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/finalDataset_query/legacy_param_360m/crops/group_00000024/s2_0.tif,/diniuvol/yuyao/s2_legacy360_matched_gee_crops36/group_00000024/s2_0.tif,12x224x224,12x36x36,36,-16,13,-16.106890220416158,13.07618180939886,20.74652846345603,207.4652846345603,0.4670611355358452,1.0,633.6041259765625,997.43017578125,2.089447259902954,3.6958682537078857,0.06772809156660148,0.9977038165772175,1.0,545.7722778320312,959.709228515625,1.7341091632843018,3.4288625717163086,0.46681889248596664,0.8843529395089808,0.861377405001652,0.9277556277273403
87,GAO20191020t153619p0000-C,1,0,-3,9,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/finalDataset_query/legacy_param_360m/crops/group_00000087/s2_0.tif,/diniuvol/yuyao/s2_legacy360_matched_gee_crops36/group_00000087/s2_0.tif,12x224x224,12x36x36,36,13,14,12.88311026014485,13.968375468049725,19.002369409930512,190.02369409930512,0.1813026074883985,1.0,766.2705688476562,1064.159912109375,2.5245718955993652,4.8049445152282715,-0.18332787350244809,0.9830518250820097,1.0,674.3464965820312,971.6671142578125,1.279414176940918,1.7954185009002686,0.2197413766394452,0.9755581619732374,0.8800370574014561,0.37366061048365146
10,GAO20191020t153619p0000-D,1,0,-2,4,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/finalDataset_query/legacy_param_360m/crops/group_00000010/s2_0.tif,/diniuvol/yuyao/s2_legacy360_matched_gee_crops36/group_00000010/s2_0.tif,12x224x224,12x36x36,36,-9,-13,-8.900638485822046,-13.148401046295902,15.877714430280315,158.77714430280315,0.24457460186636149,1.0,696.0950317382812,1006.2366943359375,2.5634818077087402,4.631218910217285,-0.003563526729344806,0.9988164018957258,1.0,788.459228515625,1100.70361328125,2.073514223098755,3.7163050174713135,-0.05157935659702778,0.9950387291596504,1.1326890619326686,0.8024464162712088
83,GAO20191020t155133p0000-A,1,-2,-1,5,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/finalDataset_query/legacy_param_360m/crops/group_00000083/s2_0.tif,/diniuvol/yuyao/s2_legacy360_matched_gee_crops36/group_00000083/s2_0.tif,12x224x224,12x36x36,36,14,4,13.881419952180051,4.040138283837896,14.457404235937895,144.57404235937895,0.1886525982830589,1.0,614.240478515625,1001.5499267578125,2.1193318367004395,3.886328935623169,-0.003446714489045477,0.9999666078372642,1.0,622.2202758789062,978.3214111328125,2.399165630340576,4.10644006729126,0.2704775264264948,0.9627262890864698,1.0129913244769626,1.0566372881231156
81,GAO20191020t161013p0000-A,1,-3,-3,18,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/finalDataset_query/legacy_param_360m/crops/group_00000081/s2_0.tif,/diniuvol/yuyao/s2_legacy360_matched_gee_crops36/group_00000081/s2_0.tif,12x224x224,12x36x36,36,4,17,3.7837888852050185,16.674646623790377,17.098564219140883,170.98564219140883,0.1864948086896257,1.0,581.6285400390625,747.5867919921875,1.2321480512619019,1.8032748699188232,-0.06563425544346485,0.9978437475438637,1.0,565.1409912109375,746.2556762695312,1.4089279174804688,2.1087424755096436,-0.10555757667377935,0.9944131927960121,0.9716527857676693,1.1693960309026938
69,GAO20191020t161013p0000-B,1,2,-3,13,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/finalDataset_query/legacy_param_360m/crops/group_00000069/s2_0.tif,/diniuvol/yuyao/s2_legacy360_matched_gee_crops36/group_00000069/s2_0.tif,12x224x224,12x36x36,36,13,16,13.087954162155516,15.81837224421814,20.530841302960155,205.30841302960155,0.2480388259993102,1.0,880.1168823242188,1025.283203125,2.59771728515625,4.665484428405762,0.03677649057104516,0.9993235160553753,1.0,867.8153686523438,971.17431640625,1.1646628379821777,1.9736883640289307,0.03460946366890645,0.99860081684,0.9860228636458045,0.4230403925500525
346,GAO20191020t163829p0000-A,1,2,1,5,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/finalDataset_query/legacy_param_360m/crops/group_00000346/s2_0.tif,/diniuvol/yuyao/s2_legacy360_matched_gee_crops36/group_00000346/s2_0.tif,12x224x224,12x36x36,36,-11,-11,-10.847632300561497,-10.528573537870532,15.116943714604904,151.16943714604903,0.5374773030731309,1.0,947.7373046875,1271.91162109375,1.9786596298217773,2.6501026153564453,-0.15838936953736188,0.987376730340328,1.0,172.68275451660156,329.50439453125,0.9954540133476257,1.548511266708374,0.9440063026928981,0.3299274169814992,0.1822052942967574,0.5843212476887788
379,GAO20191020t163829p0000-B,1,-1,-2,5,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/finalDataset_query/legacy_param_360m/crops/group_00000379/s2_0.tif,/diniuvol/yuyao/s2_legacy360_matched_gee_crops36/group_00000379/s2_0.tif,12x224x224,12x36x36,36,6,17,5.644778017103726,17.14694762026937,18.052183567497835,180.52183567497835,0.2566557434470716,1.0,729.1271362304688,1024.66796875,1.3833004236221313,1.8656728267669678,-0.19722513367531463,0.9803582236339706,1.0,637.7431640625,811.4234619140625,1.0252693891525269,1.3978230953216553,0.2547146289996553,0.9670162655165465,0.8746666148781448,0.7492327032194325
