source_dataset,source_row_number,sample_id,time_utc,latitude,longitude,site,label,flight_id,segment,metered_release_rate_kg_hr,ground_truth_source,mapping_status
67_all45_ground_truth_nc_mapping.csv,2,RF04_seg01,2021-07-30T15:41:00Z,32.053111,-102.300687,"Near Midland, Texas, USA",1,RF04,1,358.48,Stanford metered controlled-release rate; Supplement Table S5,needs_manual_review
67_all45_ground_truth_nc_mapping.csv,3,RF04_seg02,2021-07-30T15:52:00Z,32.053111,-102.300687,"Near Midland, Texas, USA",1,RF04,2,171.08,Stanford metered controlled-release rate; Supplement Table S5,needs_manual_review
67_all45_ground_truth_nc_mapping.csv,4,RF04_seg03,2021-07-30T16:07:00Z,32.053111,-102.300687,"Near Midland, Texas, USA",1,RF04,3,49.98,Stanford metered controlled-release rate; Supplement Table S5,needs_manual_review
67_all45_ground_truth_nc_mapping.csv,6,RF04_seg05,2021-07-30T16:36:00Z,32.053111,-102.300687,"Near Midland, Texas, USA",1,RF04,5,236.74,Stanford metered controlled-release rate; Supplement Table S5,needs_manual_review
67_all45_ground_truth_nc_mapping.csv,7,RF04_seg06,2021-07-30T16:51:00Z,32.053111,-102.300687,"Near Midland, Texas, USA",1,RF04,6,295.08,Stanford metered controlled-release rate; Supplement Table S5,needs_manual_review
67_all45_ground_truth_nc_mapping.csv,8,RF04_seg07,2021-07-30T17:06:00Z,32.053111,-102.300687,"Near Midland, Texas, USA",1,RF04,7,95.05,Stanford metered controlled-release rate; Supplement Table S5,needs_manual_review
67_all45_ground_truth_nc_mapping.csv,9,RF04_seg08,2021-07-30T17:22:00Z,32.053111,-102.300687,"Near Midland, Texas, USA",1,RF04,8,382.25,Stanford metered controlled-release rate; Supplement Table S5,needs_manual_review
67_all45_ground_truth_nc_mapping.csv,10,RF04_seg09,2021-07-30T18:08:00Z,32.053111,-102.300687,"Near Midland, Texas, USA",1,RF04,9,63.65,Stanford metered controlled-release rate; Supplement Table S5,needs_manual_review
67_all45_ground_truth_nc_mapping.csv,11,RF05_seg01,2021-08-03T15:52:00Z,32.053111,-102.300687,"Near Midland, Texas, USA",1,RF05,1,6.72,Stanford metered controlled-release rate; Supplement Table S5,needs_manual_review
67_all45_ground_truth_nc_mapping.csv,12,RF05_seg03,2021-08-03T16:11:00Z,32.053111,-102.300687,"Near Midland, Texas, USA",1,RF05,3,495.05,Stanford metered controlled-release rate; Supplement Table S5,needs_manual_review
67_all45_ground_truth_nc_mapping.csv,13,RF05_seg05,2021-08-03T16:30:00Z,32.053111,-102.300687,"Near Midland, Texas, USA",1,RF05,5,560.57,Stanford metered controlled-release rate; Supplement Table S5,needs_manual_review
67_all45_ground_truth_nc_mapping.csv,14,RF05_seg07,2021-08-03T16:48:00Z,32.053111,-102.300687,"Near Midland, Texas, USA",1,RF05,7,297.28,Stanford metered controlled-release rate; Supplement Table S5,needs_manual_review
67_all45_ground_truth_nc_mapping.csv,15,RF05_seg09,2021-08-03T17:06:00Z,32.053111,-102.300687,"Near Midland, Texas, USA",1,RF05,9,654.38,Stanford metered controlled-release rate; Supplement Table S5,needs_manual_review
67_all45_ground_truth_nc_mapping.csv,16,RF05_seg11,2021-08-03T17:24:00Z,32.053111,-102.300687,"Near Midland, Texas, USA",1,RF05,11,690.8,Stanford metered controlled-release rate; Supplement Table S5,needs_manual_review
67_all45_ground_truth_nc_mapping.csv,18,RF05_seg15,2021-08-03T17:59:00Z,32.053111,-102.300687,"Near Midland, Texas, USA",1,RF05,15,382.28,Stanford metered controlled-release rate; Supplement Table S5,needs_manual_review
67_all45_ground_truth_nc_mapping.csv,19,RF05_seg17,2021-08-03T18:15:00Z,32.053111,-102.300687,"Near Midland, Texas, USA",1,RF05,17,129.63,Stanford metered controlled-release rate; Supplement Table S5,needs_manual_review
40_five_site_time_coordinates_all_75_rows.csv,2,S2_LOW_POS_01,2021-08-03T18:19:19Z,33.6306336125302,-114.48914318513344,Ehrenberg_AZ_release_stack,1,,,,2023_Scientific_Reports,
67_all45_ground_truth_nc_mapping.csv,20,RF05_seg19,2021-08-03T18:35:00Z,32.053111,-102.300687,"Near Midland, Texas, USA",1,RF05,19,56.05,Stanford metered controlled-release rate; Supplement Table S5,needs_manual_review
67_all45_ground_truth_nc_mapping.csv,21,RF05_seg21,2021-08-03T18:53:00Z,32.053111,-102.300687,"Near Midland, Texas, USA",1,RF05,21,446.05,Stanford metered controlled-release rate; Supplement Table S5,needs_manual_review
67_all45_ground_truth_nc_mapping.csv,22,RF05_seg23,2021-08-03T19:11:00Z,32.053111,-102.300687,"Near Midland, Texas, USA",1,RF05,23,236.63,Stanford metered controlled-release rate; Supplement Table S5,needs_manual_review
40_five_site_time_coordinates_all_75_rows.csv,11,S2_HIGH_CLEAN_01,2021-10-19T18:13:59Z,33.6306336125302,-114.48914318513344,Ehrenberg_AZ_release_stack,1,,,,2023_Scientific_Reports,
40_five_site_time_coordinates_all_75_rows.csv,12,S2_HIGH_CLEAN_02,2021-10-22T18:24:19Z,33.6306336125302,-114.48914318513344,Ehrenberg_AZ_release_stack,1,,,,2023_Scientific_Reports,
40_five_site_time_coordinates_all_75_rows.csv,13,S2_HIGH_CLEAN_03,2021-10-27T18:24:51Z,33.6306336125302,-114.48914318513344,Ehrenberg_AZ_release_stack,1,,,,2023_Scientific_Reports,
40_five_site_time_coordinates_all_75_rows.csv,14,S2_HIGH_CLEAN_04,2021-10-29T18:14:59Z,33.6306336125302,-114.48914318513344,Ehrenberg_AZ_release_stack,1,,,,2023_Scientific_Reports,
40_five_site_time_coordinates_all_75_rows.csv,15,S2_LOW_POS_02,2021-11-03T18:15:31Z,33.6306336125302,-114.48914318513344,Ehrenberg_AZ_release_stack,1,,,,2023_Scientific_Reports,
67_all45_ground_truth_nc_mapping.csv,23,RF01E_seg01,2022-10-25T17:15:00Z,32.821,-111.786,"Near Phoenix, Arizona, USA",1,RF01E,1,205.23,Stanford metered controlled-release rate; Supplement Table S6,matched_segment_only
67_all45_ground_truth_nc_mapping.csv,24,RF01E_seg02,2022-10-25T17:32:00Z,32.821,-111.786,"Near Phoenix, Arizona, USA",1,RF01E,2,97.04,Stanford metered controlled-release rate; Supplement Table S6,matched_segment_only
67_all45_ground_truth_nc_mapping.csv,25,RF01E_seg03,2022-10-25T17:50:00Z,32.821,-111.786,"Near Phoenix, Arizona, USA",1,RF01E,3,987.13,Stanford metered controlled-release rate; Supplement Table S6,matched_segment_only
67_all45_ground_truth_nc_mapping.csv,26,RF01E_seg04,2022-10-25T18:09:00Z,32.821,-111.786,"Near Phoenix, Arizona, USA",1,RF01E,4,982.5,Stanford metered controlled-release rate; Supplement Table S6,matched_segment_only
67_all45_ground_truth_nc_mapping.csv,28,RF01E_seg06,2022-10-25T18:47:00Z,32.821,-111.786,"Near Phoenix, Arizona, USA",1,RF01E,6,468.33,Stanford metered controlled-release rate; Supplement Table S6,matched_segment_only
67_all45_ground_truth_nc_mapping.csv,29,RF01E_seg07,2022-10-25T19:07:00Z,32.821,-111.786,"Near Phoenix, Arizona, USA",1,RF01E,7,24.42,Stanford metered controlled-release rate; Supplement Table S6,matched_segment_only
67_all45_ground_truth_nc_mapping.csv,30,RF01E_seg08,2022-10-25T19:28:00Z,32.821,-111.786,"Near Phoenix, Arizona, USA",1,RF01E,8,634.57,Stanford metered controlled-release rate; Supplement Table S6,matched_segment_only
67_all45_ground_truth_nc_mapping.csv,31,RF01E_seg09,2022-10-25T20:10:00Z,32.821,-111.786,"Near Phoenix, Arizona, USA",1,RF01E,9,142.14,Stanford metered controlled-release rate; Supplement Table S6,matched_segment_only
