label,category,image_path,id
1,1,58578/s2.tif,58578
1,1,74563/s2.tif,74563
1,1,87973/s2.tif,87973
0,0,40367/s2.tif,40367
0,0,4555/s2.tif,4555
0,0,15181/s2.tif,15181
1,1,5554/s2.tif,5554
1,1,30428/s2.tif,30428
0,0,32211/s2.tif,32211
0,0,70056/s2.tif,70056
0,0,87551/s2.tif,87551
1,1,85169/s2.tif,85169
0,0,40014/s2.tif,40014
0,0,19993/s2.tif,19993
0,0,48124/s2.tif,48124
0,0,33507/s2.tif,33507
0,0,30311/s2.tif,30311
1,1,40450/s2.tif,40450
1,1,19452/s2.tif,19452
1,1,1414/s2.tif,1414
0,0,213/s2.tif,213
0,0,63261/s2.tif,63261
1,1,102648/s2.tif,102648
0,0,56267/s2.tif,56267
1,1,71713/s2.tif,71713
0,0,45974/s2.tif,45974
1,1,12279/s2.tif,12279
0,0,31963/s2.tif,31963
1,1,76829/s2.tif,76829
0,0,74139/s2.tif,74139
0,0,61690/s2.tif,61690
1,1,69135/s2.tif,69135
0,0,78510/s2.tif,78510
0,0,105645/s2.tif,105645
1,1,96222/s2.tif,96222
1,1,62406/s2.tif,62406
0,0,103820/s2.tif,103820
1,1,67729/s2.tif,67729
1,1,9087/s2.tif,9087
0,0,107010/s2.tif,107010
0,0,5474/s2.tif,5474
1,1,59601/s2.tif,59601
0,0,24385/s2.tif,24385
0,0,2023/s2.tif,2023
0,0,69330/s2.tif,69330
0,0,43108/s2.tif,43108
1,1,22915/s2.tif,22915
1,1,20510/s2.tif,20510
1,1,33359/s2.tif,33359
1,1,103383/s2.tif,103383
1,1,410/s2.tif,410
0,0,22739/s2.tif,22739
1,1,97837/s2.tif,97837
1,1,90167/s2.tif,90167
1,1,75089/s2.tif,75089
0,0,89274/s2.tif,89274
1,1,25889/s2.tif,25889
1,1,84532/s2.tif,84532
0,0,42042/s2.tif,42042
1,1,56435/s2.tif,56435
0,0,88323/s2.tif,88323
0,0,67657/s2.tif,67657
0,0,35506/s2.tif,35506
1,1,30457/s2.tif,30457
0,0,17748/s2.tif,17748
1,1,29935/s2.tif,29935
1,1,29166/s2.tif,29166
1,1,45670/s2.tif,45670
0,0,89821/s2.tif,89821
1,1,98850/s2.tif,98850
0,0,101556/s2.tif,101556
1,1,29839/s2.tif,29839
0,0,56775/s2.tif,56775
1,1,96118/s2.tif,96118
1,1,35325/s2.tif,35325
1,1,93741/s2.tif,93741
0,0,44812/s2.tif,44812
0,0,18405/s2.tif,18405
0,0,72008/s2.tif,72008
0,0,85968/s2.tif,85968
0,0,93241/s2.tif,93241
0,0,79517/s2.tif,79517
0,0,96045/s2.tif,96045
0,0,26750/s2.tif,26750
1,1,11487/s2.tif,11487
1,1,56759/s2.tif,56759
0,0,4522/s2.tif,4522
1,1,70635/s2.tif,70635
0,0,2067/s2.tif,2067
0,0,437/s2.tif,437
1,1,57966/s2.tif,57966
1,1,47655/s2.tif,47655
0,0,68686/s2.tif,68686
1,1,105931/s2.tif,105931
0,0,45745/s2.tif,45745
1,1,86622/s2.tif,86622
1,1,42553/s2.tif,42553
0,0,100751/s2.tif,100751
1,1,66228/s2.tif,66228
1,1,4692/s2.tif,4692
0,0,104680/s2.tif,104680
1,1,3260/s2.tif,3260
0,0,41570/s2.tif,41570
1,1,34886/s2.tif,34886
0,0,7012/s2.tif,7012
1,1,22815/s2.tif,22815
0,0,16792/s2.tif,16792
1,1,56906/s2.tif,56906
0,0,22494/s2.tif,22494
1,1,56481/s2.tif,56481
0,0,18617/s2.tif,18617
1,1,13180/s2.tif,13180
0,0,77312/s2.tif,77312
1,1,70137/s2.tif,70137
0,0,88718/s2.tif,88718
1,1,43656/s2.tif,43656
0,0,3730/s2.tif,3730
1,1,69786/s2.tif,69786
0,0,49757/s2.tif,49757
0,0,46769/s2.tif,46769
0,0,59393/s2.tif,59393
1,1,18257/s2.tif,18257
0,0,77962/s2.tif,77962
1,1,45545/s2.tif,45545
0,0,31018/s2.tif,31018
0,0,64576/s2.tif,64576
0,0,42047/s2.tif,42047
1,1,9270/s2.tif,9270
0,0,43218/s2.tif,43218
1,1,37569/s2.tif,37569
1,1,8555/s2.tif,8555
0,0,39538/s2.tif,39538
0,0,98809/s2.tif,98809
1,1,68825/s2.tif,68825
1,1,51589/s2.tif,51589
0,0,47652/s2.tif,47652
0,0,11108/s2.tif,11108
1,1,95107/s2.tif,95107
0,0,93842/s2.tif,93842
1,1,7190/s2.tif,7190
0,0,39040/s2.tif,39040
0,0,45313/s2.tif,45313
1,1,51193/s2.tif,51193
1,1,78560/s2.tif,78560
1,1,2211/s2.tif,2211
0,0,34560/s2.tif,34560
1,1,97753/s2.tif,97753
1,1,48326/s2.tif,48326
0,0,71448/s2.tif,71448
1,1,65975/s2.tif,65975
0,0,35765/s2.tif,35765
1,1,35911/s2.tif,35911
1,1,53453/s2.tif,53453
1,1,35036/s2.tif,35036
1,1,43955/s2.tif,43955
1,1,34215/s2.tif,34215
0,0,39515/s2.tif,39515
1,1,97176/s2.tif,97176
1,1,78547/s2.tif,78547
1,1,81842/s2.tif,81842
1,1,3012/s2.tif,3012
1,1,46621/s2.tif,46621
0,0,74964/s2.tif,74964
0,0,93339/s2.tif,93339
0,0,87242/s2.tif,87242
0,0,89549/s2.tif,89549
1,1,63428/s2.tif,63428
0,0,107334/s2.tif,107334
0,0,54647/s2.tif,54647
0,0,50106/s2.tif,50106
0,0,70746/s2.tif,70746
1,1,41646/s2.tif,41646
1,1,34010/s2.tif,34010
1,1,84011/s2.tif,84011
0,0,38505/s2.tif,38505
0,0,21896/s2.tif,21896
0,0,14504/s2.tif,14504
0,0,65701/s2.tif,65701
1,1,11443/s2.tif,11443
1,1,17105/s2.tif,17105
1,1,31573/s2.tif,31573
0,0,90857/s2.tif,90857
0,0,82268/s2.tif,82268
1,1,46244/s2.tif,46244
0,0,95746/s2.tif,95746
0,0,80164/s2.tif,80164
1,1,22379/s2.tif,22379
0,0,101895/s2.tif,101895
1,1,11754/s2.tif,11754
0,0,88771/s2.tif,88771
0,0,43339/s2.tif,43339
0,0,97900/s2.tif,97900
0,0,14877/s2.tif,14877
1,1,34184/s2.tif,34184
1,1,63209/s2.tif,63209
0,0,98751/s2.tif,98751
0,0,105550/s2.tif,105550
0,0,64450/s2.tif,64450
0,0,18130/s2.tif,18130
1,1,73780/s2.tif,73780
0,0,43711/s2.tif,43711
1,1,17480/s2.tif,17480
0,0,74114/s2.tif,74114
0,0,70933/s2.tif,70933
1,1,8015/s2.tif,8015
0,0,34738/s2.tif,34738
0,0,103328/s2.tif,103328
1,1,14108/s2.tif,14108
0,0,35473/s2.tif,35473
0,0,2112/s2.tif,2112
1,1,34476/s2.tif,34476
1,1,75136/s2.tif,75136
1,1,18250/s2.tif,18250
1,1,66664/s2.tif,66664
1,1,27154/s2.tif,27154
1,1,82186/s2.tif,82186
0,0,82532/s2.tif,82532
1,1,63165/s2.tif,63165
0,0,7386/s2.tif,7386
1,1,69886/s2.tif,69886
1,1,79401/s2.tif,79401
0,0,76329/s2.tif,76329
1,1,31928/s2.tif,31928
1,1,41287/s2.tif,41287
0,0,87138/s2.tif,87138
0,0,63867/s2.tif,63867
1,1,21417/s2.tif,21417
0,0,43064/s2.tif,43064
0,0,46751/s2.tif,46751
1,1,78916/s2.tif,78916
1,1,18218/s2.tif,18218
0,0,47622/s2.tif,47622
1,1,10111/s2.tif,10111
0,0,45941/s2.tif,45941
1,1,47146/s2.tif,47146
0,0,29795/s2.tif,29795
0,0,102780/s2.tif,102780
0,0,9686/s2.tif,9686
0,0,43056/s2.tif,43056
1,1,38165/s2.tif,38165
0,0,31133/s2.tif,31133
0,0,95739/s2.tif,95739
1,1,25529/s2.tif,25529
0,0,82056/s2.tif,82056
1,1,73394/s2.tif,73394
0,0,33505/s2.tif,33505
0,0,755/s2.tif,755
0,0,78207/s2.tif,78207
0,0,56561/s2.tif,56561
1,1,39473/s2.tif,39473
1,1,60399/s2.tif,60399
0,0,16216/s2.tif,16216
0,0,40370/s2.tif,40370
0,0,70336/s2.tif,70336
1,1,35058/s2.tif,35058
1,1,23220/s2.tif,23220
0,0,73116/s2.tif,73116
0,0,96439/s2.tif,96439
1,1,78605/s2.tif,78605
0,0,95506/s2.tif,95506
1,1,94872/s2.tif,94872
0,0,56616/s2.tif,56616
1,1,31849/s2.tif,31849
1,1,19268/s2.tif,19268
0,0,7512/s2.tif,7512
0,0,25130/s2.tif,25130
0,0,61190/s2.tif,61190
1,1,55148/s2.tif,55148
0,0,47031/s2.tif,47031
0,0,30612/s2.tif,30612
1,1,56394/s2.tif,56394
1,1,80565/s2.tif,80565
1,1,76936/s2.tif,76936
1,1,21220/s2.tif,21220
0,0,8985/s2.tif,8985
1,1,64842/s2.tif,64842
1,1,63415/s2.tif,63415
1,1,15617/s2.tif,15617
0,0,24805/s2.tif,24805
0,0,18667/s2.tif,18667
1,1,71075/s2.tif,71075
0,0,104972/s2.tif,104972
1,1,46390/s2.tif,46390
0,0,65188/s2.tif,65188
0,0,40595/s2.tif,40595
1,1,71120/s2.tif,71120
1,1,32049/s2.tif,32049
0,0,28036/s2.tif,28036
0,0,62435/s2.tif,62435
1,1,16615/s2.tif,16615
1,1,57799/s2.tif,57799
0,0,94070/s2.tif,94070
0,0,5323/s2.tif,5323
0,0,151/s2.tif,151
1,1,16836/s2.tif,16836
1,1,58274/s2.tif,58274
1,1,88287/s2.tif,88287
1,1,16383/s2.tif,16383
1,1,38286/s2.tif,38286
0,0,104344/s2.tif,104344
0,0,7235/s2.tif,7235
0,0,72019/s2.tif,72019
0,0,40337/s2.tif,40337
0,0,106866/s2.tif,106866
0,0,20821/s2.tif,20821
