id,label,latitude,longitude,available_sensor,S2_t0_path,S2_pre_path,S2_pre_pre_path,S2_plume_label_path,L89_t0_path,L89_pre_path,L89_pre_pre_path,L89_plume_label_path,EMIT_t0_path,EMIT_pre_path,EMIT_pre_pre_path,EMIT_plume_label_path,S5p_temporal_path
10371,0,32.017882,-103.977258,S2,data/480m_GSD/s2/10371/s2.tif,data/480m_GSD/s2/10371/s2_pre.tif,data/480m_GSD/s2/10371/s2_pre_pre.tif,data/480m_GSD/s2/10371/s2_plume.tif,,,,,,,,,
13479,1,39.684543,-111.15722,S2,data/480m_GSD/s2/13479/s2.tif,data/480m_GSD/s2/13479/s2_pre.tif,data/480m_GSD/s2/13479/s2_pre_pre.tif,data/480m_GSD/s2/13479/s2_plume.tif,,,,,,,,,
13487,1,39.684543,-111.15722,S2,data/480m_GSD/s2/13487/s2.tif,data/480m_GSD/s2/13487/s2_pre.tif,data/480m_GSD/s2/13487/s2_pre_pre.tif,data/480m_GSD/s2/13487/s2_plume.tif,,,,,,,,,
13494,1,39.684543,-111.15722,S2,data/480m_GSD/s2/13494/s2.tif,data/480m_GSD/s2/13494/s2_pre.tif,data/480m_GSD/s2/13494/s2_pre_pre.tif,data/480m_GSD/s2/13494/s2_plume.tif,,,,,,,,,
13506,1,39.684543,-111.15722,S2,data/480m_GSD/s2/13506/s2.tif,data/480m_GSD/s2/13506/s2_pre.tif,data/480m_GSD/s2/13506/s2_pre_pre.tif,data/480m_GSD/s2/13506/s2_plume.tif,,,,,,,,,
13517,1,39.684543,-111.15722,S2,data/480m_GSD/s2/13517/s2.tif,data/480m_GSD/s2/13517/s2_pre.tif,data/480m_GSD/s2/13517/s2_pre_pre.tif,data/480m_GSD/s2/13517/s2_plume.tif,,,,,,,,,
13528,1,39.684543,-111.15722,S2,data/480m_GSD/s2/13528/s2.tif,data/480m_GSD/s2/13528/s2_pre.tif,data/480m_GSD/s2/13528/s2_pre_pre.tif,data/480m_GSD/s2/13528/s2_plume.tif,,,,,,,,,
13542,1,39.684543,-111.15722,S2,data/480m_GSD/s2/13542/s2.tif,data/480m_GSD/s2/13542/s2_pre.tif,data/480m_GSD/s2/13542/s2_pre_pre.tif,data/480m_GSD/s2/13542/s2_plume.tif,,,,,,,,,
13552,1,39.684543,-111.15722,S2,data/480m_GSD/s2/13552/s2.tif,data/480m_GSD/s2/13552/s2_pre.tif,data/480m_GSD/s2/13552/s2_pre_pre.tif,data/480m_GSD/s2/13552/s2_plume.tif,,,,,,,,,
13566,1,39.684543,-111.15722,S2,data/480m_GSD/s2/13566/s2.tif,data/480m_GSD/s2/13566/s2_pre.tif,data/480m_GSD/s2/13566/s2_pre_pre.tif,data/480m_GSD/s2/13566/s2_plume.tif,,,,,,,,,
