id,label,latitude,longitude,available_sensor,S2_t0_path,S2_pre_path,S2_pre_pre_path,S2_plume_label_path,L89_t0_path,L89_pre_path,L89_pre_pre_path,L89_plume_label_path,EMIT_t0_path,EMIT_pre_path,EMIT_pre_pre_path,EMIT_plume_label_path,S5p_temporal_path
1,1,31.0748638,-101.39618,S2,data/120m_GSD/s2/1/s2.tif,data/120m_GSD/s2/1/s2_pre.tif,data/120m_GSD/s2/1/s2_pre_pre.tif,data/120m_GSD/s2/1/s2_plume.tif,,,,,,,,,
33,1,31.0748638,-101.39618,S2,data/120m_GSD/s2/33/s2.tif,data/120m_GSD/s2/33/s2_pre.tif,data/120m_GSD/s2/33/s2_pre_pre.tif,data/120m_GSD/s2/33/s2_plume.tif,,,,,,,,,
57,1,31.0748638,-101.39618,S2,data/120m_GSD/s2/57/s2.tif,data/120m_GSD/s2/57/s2_pre.tif,data/120m_GSD/s2/57/s2_pre_pre.tif,data/120m_GSD/s2/57/s2_plume.tif,,,,,,,,,
68,1,31.0748638,-101.39618,S2,data/120m_GSD/s2/68/s2.tif,data/120m_GSD/s2/68/s2_pre.tif,data/120m_GSD/s2/68/s2_pre_pre.tif,data/120m_GSD/s2/68/s2_plume.tif,,,,,,,,,
91,1,31.0748638,-101.39618,S2,data/120m_GSD/s2/91/s2.tif,data/120m_GSD/s2/91/s2_pre.tif,data/120m_GSD/s2/91/s2_pre_pre.tif,data/120m_GSD/s2/91/s2_plume.tif,,,,,,,,,
112,1,31.0748638,-101.39618,S2,data/120m_GSD/s2/112/s2.tif,data/120m_GSD/s2/112/s2_pre.tif,data/120m_GSD/s2/112/s2_pre_pre.tif,data/120m_GSD/s2/112/s2_plume.tif,,,,,,,,,
130,1,31.0748638,-101.39618,S2,data/120m_GSD/s2/130/s2.tif,data/120m_GSD/s2/130/s2_pre.tif,data/120m_GSD/s2/130/s2_pre_pre.tif,data/120m_GSD/s2/130/s2_plume.tif,,,,,,,,,
153,1,31.0748638,-101.39618,S2,data/120m_GSD/s2/153/s2.tif,data/120m_GSD/s2/153/s2_pre.tif,data/120m_GSD/s2/153/s2_pre_pre.tif,data/120m_GSD/s2/153/s2_plume.tif,,,,,,,,,
165,1,31.0748638,-101.39618,S2,data/120m_GSD/s2/165/s2.tif,data/120m_GSD/s2/165/s2_pre.tif,data/120m_GSD/s2/165/s2_pre_pre.tif,data/120m_GSD/s2/165/s2_plume.tif,,,,,,,,,
185,1,31.0748638,-101.39618,S2,data/120m_GSD/s2/185/s2.tif,data/120m_GSD/s2/185/s2_pre.tif,data/120m_GSD/s2/185/s2_pre_pre.tif,data/120m_GSD/s2/185/s2_plume.tif,,,,,,,,,
