metric_group,count,pos,neg,tp,tn,fp,fn,f1,acc,fpr,recall,auroc
overall_all,31938,16814,15124,13479,12119,3005,3335,0.8095981740645084,0.8014903876260254,0.19869082253372125,0.8016533840846913,0.8744030809170341
overall_overlap,6222,3489,2733,2863,2296,437,626,0.8434231845632641,0.829154612664738,0.15989754848152213,0.8205789624534251,0.9013920914164711
overall_single,25716,13325,12391,10616,9823,2568,2709,0.8009355313289827,0.7947970135324312,0.20724719554515375,0.7966979362101313,0.8681851455763678
s2_all,15004,7608,7396,6899,6493,903,709,0.8953926022063594,0.8925619834710744,0.12209302325581395,0.9068086225026288,0.9380526333898053
s2_overlap,3092,1648,1444,1521,1294,150,127,0.9165411268454353,0.9104139715394567,0.1038781163434903,0.9229368932038835,0.9539139610171317
s2_single,11912,5960,5952,5378,5199,753,582,0.8895872963361179,0.8879281396910679,0.12651209677419356,0.9023489932885906,0.9339875886284911
l89_all,10554,5362,5192,4291,3950,1242,1071,0.7877007801743919,0.7808413871517907,0.23921417565485362,0.8002610966057441,0.8648420424444344
l89_overlap,3049,1633,1416,1411,1193,223,222,0.8637894092439548,0.8540505083633978,0.1574858757062147,0.8640538885486834,0.9239472081815383
l89_single,7505,3729,3776,2880,2757,1019,849,0.7551127425275301,0.7510992671552299,0.2698622881355932,0.7723250201126307,0.841215680693238
emit_all,9342,5415,3927,3733,2919,1008,1682,0.7351319417093344,0.7120530935559838,0.25668449197860965,0.6893813481071098,0.8167038526986383
emit_overlap,3632,2096,1536,1555,1239,297,541,0.78774062816616,0.7692731277533039,0.193359375,0.7418893129770993,0.8655698354007634
emit_single,5710,3319,2391,2178,1680,711,1141,0.7016752577319587,0.6756567425569177,0.2973651191969887,0.6562217535402229,0.785574078953553
s5p_all,4079,2366,1713,1817,1371,342,549,0.8030939226519337,0.7815641088502084,0.19964973730297722,0.7679628064243449,0.8662951848995227
s5p_overlap,3490,2049,1441,1637,1184,257,412,0.8303322343393356,0.8083094555873925,0.17834836918806385,0.7989263055148853,0.8849304123912106
s5p_single,589,317,272,180,187,85,137,0.618556701030928,0.6230899830220713,0.3125,0.5678233438485805,0.7558104472072741
