availability_regime,count,pos,neg,base_f1,base_acc,base_fpr,base_recall,base_auroc,ada_f1,ada_acc,ada_fpr,ada_recall,ada_auroc,delta_f1,fpr_red_abs_pp,delta_auroc,ada_tp,ada_tn,ada_fp,ada_fn,baseline_calibration
S2 only,11912,5960,5952,0.8532568619418273,0.8496474143720618,0.1743951612903226,0.8736577181208054,0.9351858773995093,0.8895872963361179,0.8879281396910679,0.12651209677419356,0.9023489932885906,0.9339875886284911,0.03633043439429062,4.788306451612903,-0.001198288771018241,5378,5199,753,582,emit_logit_minus_0.20;s5p_logit_minus_0.25
L89 only,7505,3729,3776,0.7355017301038063,0.7453697534976682,0.2221927966101695,0.7125234647358542,0.8216694278922417,0.7551127425275301,0.7510992671552299,0.2698622881355932,0.7723250201126307,0.841215680693238,0.019611012423723873,-4.766949152542371,0.01954625280099631,2880,2757,1019,849,emit_logit_minus_0.20;s5p_logit_minus_0.25
EMIT only,5710,3319,2391,0.6515373352855052,0.4998248686514886,0.9230447511501464,0.8044591744501356,0.6100552324808471,0.7016752577319587,0.6756567425569177,0.2973651191969887,0.6562217535402229,0.785574078953553,0.05013792244645354,62.56796319531577,0.17551884647270588,2178,1680,711,1141,emit_logit_minus_0.20;s5p_logit_minus_0.25
S5P only,589,317,272,0.729064039408867,0.7198641765704584,0.25735294117647056,0.7003154574132492,0.7453029318983113,0.618556701030928,0.6230899830220713,0.3125,0.5678233438485805,0.7558104472072741,-0.11050733837793902,-5.514705882352944,0.010507515308962767,180,187,85,137,emit_logit_minus_0.20;s5p_logit_minus_0.25
S2 + local helper(s),1995,1040,955,0.7940630797773655,0.7774436090225564,0.27225130890052357,0.823076923076923,0.8925996778091019,0.9066147859922179,0.9037593984962407,0.08795811518324607,0.8961538461538462,0.9495292992347967,0.11255170621485244,18.429319371727747,0.0569296214256948,932,871,84,108,emit_logit_minus_0.20;s5p_logit_minus_0.25
S2 + S5P context,640,336,304,0.8505079825834544,0.8390625,0.19736842105263158,0.8720238095238095,0.9097254855889724,0.9307479224376731,0.921875,0.16447368421052633,1.0,0.9679570018796992,0.08023993985421873,3.2894736842105257,0.05823151629072687,336,254,50,0,emit_logit_minus_0.20;s5p_logit_minus_0.25
S2 + local helper(s) + S5P,457,272,185,0.8972972972972972,0.87527352297593,0.1837837837837838,0.9154411764705882,0.9124801271860096,0.9353049907578559,0.9234135667396062,0.08648648648648649,0.9301470588235294,0.964487281399046,0.038007693460558656,9.72972972972973,0.05200715421303648,253,169,16,19,emit_logit_minus_0.20;s5p_logit_minus_0.25
L89 + helper(s),1510,801,709,0.7842227378190256,0.7536423841059603,0.34837799717912554,0.8439450686641697,0.8293053992805184,0.7781269641734757,0.7662251655629139,0.24118476727785615,0.7727840199750312,0.8738037255968826,-0.006095773645549918,10.719322990126939,0.04449832631636419,619,538,171,182,emit_logit_minus_0.20;s5p_logit_minus_0.25
EMIT + helper(s),2606,1568,1038,0.7942112879884226,0.727168073676132,0.49614643545279385,0.875,0.8102684715504699,0.7673385719166382,0.7386799693016116,0.22736030828516376,0.7161989795918368,0.8469421547520742,-0.02687271607178432,26.878612716763005,0.03667368320160436,1123,802,236,445,emit_logit_minus_0.20;s5p_logit_minus_0.25
S5P + helper(s),2393,1441,952,0.803257328990228,0.7475971583786043,0.41596638655462187,0.8556557945870923,0.8020814502067308,0.7820895522388059,0.7559548683660677,0.20063025210084034,0.7272727272727273,0.8535002828334664,-0.021167776751422007,21.53361344537815,0.05141883262673552,1048,761,191,393,emit_logit_minus_0.20;s5p_logit_minus_0.25
