availability_regime,count,pos,neg,base_f1,base_acc,base_fpr,base_recall,base_auroc,ada_f1,ada_acc,ada_fpr,ada_recall,ada_auroc,delta_f1,fpr_red_abs_pp,delta_auroc,ada_tp,ada_tn,ada_fp,ada_fn
S2 only,11442,5700,5742,0.8726382085374388,0.8727495193148052,0.12957157784743992,0.8750877192982456,0.9465891828142281,0.8949828057490521,0.8959098059779759,0.09857192615813305,0.8903508771929824,0.9403466302468118,0.022344597211613304,3.0999651689306864,-0.0062425525674163485,5075,5176,566,625
L89 only,7275,3637,3638,0.7342368886269888,0.7520274914089347,0.1811434854315558,0.6851800934836404,0.8103271111172916,0.7540783656045128,0.7782817869415808,0.1234194612424409,0.6799560076986527,0.8626765742053415,0.01984147697752403,5.772402418911492,0.052349463088049886,2473,3189,449,1164
EMIT only,5888,3496,2392,0.7105020424298327,0.6268682065217391,0.5840301003344481,0.7711670480549199,0.6446160638436282,0.8029717682020803,0.774796195652174,0.22240802675585283,0.772883295194508,0.8589876724857075,0.09246972577224755,36.16220735785953,0.21437160864207927,2702,1860,532,794
S5P only,608,331,277,0.6585365853658536,0.631578947368421,0.3935018050541516,0.6525679758308157,0.7165028848146412,0.6677367576243981,0.6595394736842105,0.30324909747292417,0.6283987915407855,0.7746354445014014,0.009200172258544526,9.025270758122744,0.05813255968676023,208,193,84,123
S2 + local helper(s),2198,1137,1061,0.8262443438914027,0.8252957233848953,0.15080113100848255,0.802990325417766,0.9147350245408283,0.8942263279445727,0.8958143767060964,0.05655042412818096,0.851363236587511,0.9474931550113275,0.06798198405317002,9.42507068803016,0.032758130470499136,968,1001,60,169
S2 + S5P context,867,464,403,0.8412874583795783,0.8350634371395617,0.14392059553349876,0.8168103448275862,0.9212586634722342,0.8733333333333333,0.8685121107266436,0.10669975186104218,0.8469827586206896,0.9310612218704543,0.032045874953754994,3.722084367245658,0.009802558398220085,393,360,43,71
S2 + local helper(s) + S5P,447,256,191,0.8268839103869654,0.8098434004474273,0.16753926701570682,0.79296875,0.8949198298429318,0.9388560157790927,0.930648769574944,0.06806282722513089,0.9296875,0.9606511780104713,0.11197210539212732,9.947643979057592,0.06573134816753945,238,178,13,18
L89 + helper(s),1430,782,648,0.7652292950034223,0.7601398601398601,0.18518518518518517,0.7148337595907929,0.8012239114647469,0.8140442132639792,0.8,0.2006172839506173,0.8005115089514067,0.8903719096334186,0.04881491826055695,-1.5432098765432112,0.0891479981686717,626,518,130,156
EMIT + helper(s),2350,1402,948,0.7838038632986626,0.7523404255319149,0.2478902953586498,0.7524964336661911,0.7540907504047865,0.8556701030927836,0.8331914893617022,0.16033755274261605,0.8288159771754636,0.9110786579750446,0.07186623979412099,8.755274261603374,0.15698790757025816,1162,796,152,240
S5P + helper(s),2134,1270,864,0.7731788079470198,0.7432052483598875,0.24537037037037038,0.7354330708661417,0.7524414916885389,0.8581877285656238,0.8364573570759137,0.15625,0.831496062992126,0.9106189851268591,0.08500892061860399,8.912037037037038,0.15817749343832022,1056,729,135,214
