metric_group,count,pos,neg,tp,tn,fp,fn,f1,acc,fpr,recall,auroc,target_f1,f1_diff,target_acc,acc_diff,target_fpr,fpr_diff,target_recall,recall_diff,target_auroc,auroc_diff
overall_all,31587,16774,14813,13989,12611,2202,2785,0.8487183376308206,0.8421185930920948,0.14865321001822723,0.8339692381065935,0.9362479472741014,0.8487183376308206,0.0,0.8421185930920948,0.0,0.1486532100182272,2.7755575615628914e-17,0.8339692381065935,0.0,0.936361255240413,-0.00011330796631159323
overall_overlap,6169,3440,2729,2984,2396,333,456,0.8832322036406689,0.8721024477224834,0.12202271894466837,0.8674418604651163,0.9411951306808012,0.8832322036406691,-2.220446049250313e-16,0.8721024477224834,0.0,0.1220227189446683,6.938893903907228e-17,0.8674418604651163,0.0,0.9418452325155308,-0.0006501018347295773
overall_single,25418,13334,12084,11005,10215,1869,2329,0.8398199023199023,0.8348414509402785,0.15466732869910627,0.8253337333133344,0.9347666523079008,0.8398199023199024,-1.1102230246251565e-16,0.8348414509402785,0.0,0.1546673286991062,5.551115123125783e-17,0.8253337333133344,0.0,0.9347666523079008,0.0
s2_all,14945,7601,7344,6649,6610,734,952,0.8874799786438868,0.887186349949816,0.09994553376906318,0.8747533219313248,0.9681432113622248,0.8874799786438867,1.1102230246251565e-16,0.887186349949816,0.0,0.0999455337690631,8.326672684688674e-17,0.8747533219313248,0.0,0.968357070678408,-0.00021385931618322918
s2_overlap,3210,1698,1512,1486,1391,121,212,0.8992435703479577,0.8962616822429906,0.08002645502645503,0.8751472320376914,0.953683644312325,0.8992435703479575,1.1102230246251565e-16,0.8962616822429906,0.0,0.080026455026455,2.7755575615628914e-17,0.8751472320376914,0.0,0.954848257520519,-0.0011646132081940541
s2_single,11735,5903,5832,5163,5219,613,740,0.8841510403287953,0.8847038772901576,0.10510973936899863,0.8746400135524309,0.9721564004445904,0.8841510403287953,0.0,0.8847038772901576,0.0,0.1051097393689986,2.7755575615628914e-17,0.8746400135524309,0.0,0.9721564004445904,0.0
l89_all,10480,5344,5136,4148,4488,648,1196,0.8181459566074951,0.8240458015267176,0.1261682242990654,0.7761976047904192,0.9420610079490551,0.8181459566074951,0.0,0.8240458015267176,0.0,0.1261682242990654,0.0,0.7761976047904192,0.0,0.9423137151514728,-0.0002527072024176569
l89_overlap,3165,1722,1443,1478,1303,140,244,0.8850299401197604,0.8786729857819905,0.09702009702009702,0.8583042973286876,0.9462475742963548,0.8850299401197604,0.0,0.8786729857819905,0.0,0.097020097020097,2.7755575615628914e-17,0.8583042973286876,0.0,0.9471578922798436,-0.0009103179834888397
l89_single,7315,3622,3693,2670,3185,508,952,0.7852941176470588,0.8004101161995899,0.13755754129434064,0.737161789066814,0.9397186582641834,0.7852941176470588,0.0,0.8004101161995899,0.0,0.1375575412943406,2.7755575615628914e-17,0.737161789066814,0.0,0.9397186582641834,0.0
emit_all,9122,5398,3724,4603,2774,950,795,0.8406538215688065,0.8087042315281736,0.25510204081632654,0.8527232308262319,0.8904704829612272,0.8406538215688065,0.0,0.8087042315281736,0.0,0.2551020408163265,5.551115123125783e-17,0.8527232308262319,0.0,0.8905323668829089,-6.188392168171575e-05
emit_overlap,3385,1934,1451,1646,1128,323,288,0.8434537535229311,0.8194977843426884,0.22260509993108202,0.8510858324715616,0.9173946292433204,0.8434537535229311,0.0,0.8194977843426884,0.0,0.222605099931082,2.7755575615628914e-17,0.8510858324715616,0.0,0.9175428706230484,-0.0001482413797280202
emit_single,5737,3464,2273,2957,1646,627,507,0.8391032917139614,0.8023357155307652,0.27584689837219534,0.8536374133949192,0.8759734974990068,0.8391032917139614,0.0,0.8023357155307652,0.0,0.2758468983721953,5.551115123125783e-17,0.8536374133949192,0.0,0.8759734974990068,0.0
s5p_all,4005,2343,1662,2045,1338,324,298,0.8679966044142614,0.8446941323345818,0.19494584837545126,0.8728126333760137,0.9174434896583674,0.8679966044142615,-1.1102230246251565e-16,0.8446941323345818,0.0,0.1949458483754512,5.551115123125783e-17,0.8728126333760137,0.0,0.917678719364284,-0.0002352297059166064
s5p_overlap,3374,1998,1376,1830,1173,203,168,0.9079632845447779,0.8900414937759336,0.14752906976744187,0.9159159159159159,0.9415651116232511,0.907963284544778,-1.1102230246251565e-16,0.8900414937759336,0.0,0.1475290697674418,8.326672684688674e-17,0.915915915915916,-1.1102230246251565e-16,0.9418462794189538,-0.0002811677957027525
s5p_single,631,345,286,215,165,121,130,0.631424375917768,0.6022187004754358,0.4230769230769231,0.6231884057971014,0.7885983581635756,0.631424375917768,0.0,0.6022187004754358,0.0,0.4230769230769231,0.0,0.6231884057971014,0.0,0.7885983581635756,0.0
