availability_regime,count,pos,neg,base_tp,base_tn,base_fp,base_fn,base_f1,base_acc,base_fpr,base_recall,base_auroc,ada_tp,ada_tn,ada_fp,ada_fn,ada_f1,ada_acc,ada_fpr,ada_recall,ada_auroc,delta_f1,fpr_red_abs_pp,delta_auroc
S2 only,11735,5903,5832,5083,4839,993,820,0.8486518073294933,0.8455048998721773,0.17026748971193414,0.8610875825851262,0.92627284097017,5163,5219,613,740,0.8841510403287953,0.8847038772901576,0.10510973936899863,0.8746400135524309,0.9721564004445904,0.03549923299930202,6.515775034293552,0.045883559474420355
L89 only,7315,3622,3693,2642,3078,615,980,0.7681349033289723,0.7819548872180451,0.16653127538586515,0.729431253451132,0.8677274285689508,2670,3185,508,952,0.7852941176470588,0.8004101161995899,0.13755754129434064,0.737161789066814,0.9397186582641834,0.017159214318086535,2.897373409152451,0.07199122969523264
EMIT only,5737,3464,2273,2736,1003,1270,728,0.7325301204819277,0.6517343559351577,0.5587329520457545,0.789838337182448,0.697066883151851,2957,1646,627,507,0.8391032917139614,0.8023357155307652,0.27584689837219534,0.8536374133949192,0.8759734974990068,0.10657317123203369,28.288605367355913,0.17890661434715582
S5P only,631,345,286,184,224,62,161,0.622673434856176,0.6465927099841522,0.21678321678321677,0.5333333333333333,0.6568967264619437,215,165,121,130,0.631424375917768,0.6022187004754358,0.4230769230769231,0.6231884057971014,0.7885983581635756,0.008750941061592021,-20.62937062937063,0.13170163170163185
S2 + local helper(s),2071,1058,1013,883,838,175,175,0.834593572778828,0.8309995171414776,0.1727541954590326,0.834593572778828,0.9166562476090595,889,968,45,169,0.892570281124498,0.8966682761950748,0.044422507403751234,0.8402646502835539,0.9321355460301526,0.057976708345670036,12.833168805528135,0.01547929842109308
S2 + S5P context,565,288,277,209,235,42,79,0.7755102040816326,0.7858407079646018,0.15162454873646208,0.7256944444444444,0.8991551343762535,245,276,1,43,0.9176029962546817,0.9221238938053097,0.0036101083032490976,0.8506944444444444,0.9984456478138789,0.14209279217304904,14.801444043321299,0.0992905134376254
S2 + local helper(s) + S5P,574,352,222,284,188,34,68,0.8477611940298507,0.8222996515679443,0.15315315315315314,0.8068181818181818,0.8861588861588862,352,147,75,0,0.9037227214377407,0.8693379790940766,0.33783783783783783,1.0,0.9885083947583948,0.055961527407889955,-18.46846846846847,0.10234950859950864
L89 + helper(s),1421,776,645,564,535,110,212,0.7779310344827586,0.7733990147783252,0.17054263565891473,0.7268041237113402,0.8434847758331334,636,516,129,140,0.8254380272550292,0.8106966924700915,0.2,0.8195876288659794,0.901898026052905,0.04750699277227066,-2.9457364341085284,0.05841325021977162
EMIT + helper(s),2424,1438,986,1019,794,192,419,0.7693469233673084,0.7479372937293729,0.1947261663286004,0.7086230876216968,0.8011232357313939,1215,775,211,223,0.848463687150838,0.820957095709571,0.21399594320486814,0.844923504867872,0.9439905548330308,0.07911676378352961,-1.9269776876267741,0.14286731910163697
S5P + helper(s),2235,1358,877,924,716,161,434,0.7564469914040115,0.7337807606263982,0.18358038768529075,0.6804123711340206,0.8106562236033605,1233,750,127,125,0.9072847682119205,0.887248322147651,0.14481185860889395,0.9079528718703976,0.9140655568672825,0.150837776807909,3.8768529076396803,0.10340933326392199
