Availability,Count,Base F1,Base Acc,Base FPR,Base Rec,Base AUROC,Ada F1,Ada Acc,Ada FPR,Ada Rec,Ada AUROC
S2,11735,84.86518073294933,84.55048998721773,17.026748971193413,86.10875825851262,92.62728409701701,88.41510403287953,88.47038772901577,10.510973936899862,87.4640013552431,97.21564004445904
L8/9,7315,76.81349033289723,78.19548872180451,16.653127538586514,72.9431253451132,86.77274285689508,78.52941176470588,80.041011619959,13.755754129434065,73.71617890668139,93.97186582641834
EMIT,5737,73.25301204819277,65.17343559351578,55.87329520457545,78.9838337182448,69.70668831518509,83.91032917139614,80.23357155307652,27.584689837219535,85.36374133949192,87.59734974990067
S5P,631,62.2673434856176,64.65927099841522,21.678321678321677,53.333333333333336,65.68967264619438,63.1424375917768,60.22187004754358,42.30769230769231,62.31884057971014,78.85983581635756
S2+L8/9,1334,83.8192419825073,83.35832083958022,16.61490683229814,83.33333333333334,93.10333963453056,91.77760375880972,92.12893553223388,0.15527950310559005,84.92753623188406,99.85034656584753
S2+EMIT,677,82.7178729689808,82.7178729689808,17.888563049853374,83.33333333333334,89.00380533445049,83.64197530864197,84.3426883308715,12.023460410557185,80.65476190476191,84.36147186147186
S2+S5P,565,77.55102040816327,78.58407079646018,15.162454873646208,72.56944444444444,89.91551343762535,91.76029962546816,92.21238938053096,0.36101083032490977,85.06944444444444,99.84456478138789
L8/9+EMIT,724,79.73154362416108,79.14364640883977,18.823529411764707,77.34375,82.6639093137255,72.20708446866485,71.8232044198895,25.0,69.01041666666666,96.02328431372548
L8/9+S5P,535,74.95361781076066,74.76635514018692,14.285714285714285,66.44736842105263,87.74777853725222,96.25850340136054,95.88785046728971,0.4329004329004329,93.0921052631579,94.95471633629529
EMIT+S5P,1538,75.60414269275029,72.43172951885566,20.104895104895103,68.01242236024845,78.54011930098888,90.2145473574045,87.84135240572172,14.51048951048951,89.23395445134575,95.52042160737814
S2+L8/9+EMIT,60,83.5820895522388,81.66666666666667,25.0,87.5,88.95089285714286,95.52238805970148,95.0,10.714285714285714,100.0,96.875
S2+L8/9+S5P,350,85.91549295774648,82.85714285714286,15.079365079365079,81.69642857142857,89.27508503401363,98.46153846153847,98.0,5.555555555555555,100.0,98.85912698412699
S2+EMIT+S5P,224,82.78688524590164,81.25,15.625,78.90625,88.27311197916667,79.01234567901234,69.64285714285714,70.83333333333334,100.0,98.86067708333334
L8/9+EMIT+S5P,162,78.3132530120482,77.77777777777779,17.56756756756757,73.86363636363636,81.55712530712532,80.36529680365297,73.4567901234568,58.108108108108105,100.0,96.71375921375922
S2+L8/9+EMIT+S5P,0,,,,,,,,,,
