metric_group,count,pos,neg,tp,tn,fp,fn,f1,acc,fpr,recall,auroc
overall_all,31587,16774,14813,13989,12611,2202,2785,0.8487183376308206,0.8421185930920948,0.14865321001822723,0.8339692381065935,0.936361255240413
overall_overlap,6169,3440,2729,2984,2396,333,456,0.8832322036406691,0.8721024477224834,0.12202271894466837,0.8674418604651163,0.9418452325155309
overall_single,25418,13334,12084,11005,10215,1869,2329,0.8398199023199024,0.8348414509402785,0.15466732869910627,0.8253337333133344,0.9347666523079008
s2_all,14945,7601,7344,6649,6610,734,952,0.8874799786438867,0.887186349949816,0.09994553376906318,0.8747533219313248,0.968357070678408
s2_overlap,3210,1698,1512,1486,1391,121,212,0.8992435703479575,0.8962616822429906,0.08002645502645503,0.8751472320376914,0.954848257520519
s2_single,11735,5903,5832,5163,5219,613,740,0.8841510403287953,0.8847038772901576,0.10510973936899863,0.8746400135524309,0.9721564004445904
l89_all,10480,5344,5136,4148,4488,648,1196,0.8181459566074951,0.8240458015267176,0.1261682242990654,0.7761976047904192,0.9423137151514729
l89_overlap,3165,1722,1443,1478,1303,140,244,0.8850299401197604,0.8786729857819905,0.09702009702009702,0.8583042973286876,0.9471578922798435
l89_single,7315,3622,3693,2670,3185,508,952,0.7852941176470588,0.8004101161995899,0.13755754129434064,0.737161789066814,0.9397186582641834
emit_all,9122,5398,3724,4603,2774,950,795,0.8406538215688065,0.8087042315281736,0.25510204081632654,0.8527232308262319,0.8905323668829089
emit_overlap,3385,1934,1451,1646,1128,323,288,0.8434537535229311,0.8194977843426884,0.22260509993108202,0.8510858324715616,0.9175428706230485
emit_single,5737,3464,2273,2957,1646,627,507,0.8391032917139614,0.8023357155307652,0.27584689837219534,0.8536374133949192,0.8759734974990068
s5p_all,4005,2343,1662,2045,1338,324,298,0.8679966044142615,0.8446941323345818,0.19494584837545126,0.8728126333760137,0.9176787193642841
s5p_overlap,3374,1998,1376,1830,1173,203,168,0.9079632845447779,0.8900414937759336,0.14752906976744187,0.9159159159159159,0.9418462794189538
s5p_single,631,345,286,215,165,121,130,0.631424375917768,0.6022187004754358,0.4230769230769231,0.6231884057971014,0.7885983581635756
