availability_regime,count,pos,neg,base_f1,base_acc,base_fpr,base_recall,base_auroc,ada_f1,ada_acc,ada_fpr,ada_recall,ada_auroc,delta_f1,fpr_red_abs_pp,delta_auroc,ada_tp,ada_tn,ada_fp,ada_fn
S2 only,11735,5903,5832,0.8486518073294932,0.8455048998721773,0.17026748971193414,0.8610875825851262,0.92627284097017,0.8841510403287953,0.8847038772901576,0.10510973936899863,0.8746400135524309,0.9721564004445904,0.03549923299930213,6.515775034293552,0.045883559474420355,5163,5219,613,740
L89 only,7315,3622,3693,0.7681349033289723,0.7819548872180451,0.16653127538586515,0.729431253451132,0.8677274285689508,0.7852941176470588,0.8004101161995899,0.13755754129434064,0.737161789066814,0.9397186582641834,0.017159214318086535,2.897373409152451,0.07199122969523264,2670,3185,508,952
EMIT only,5737,3464,2273,0.7325301204819278,0.6517343559351577,0.5587329520457545,0.789838337182448,0.697066883151851,0.8391032917139614,0.8023357155307652,0.27584689837219534,0.8536374133949192,0.8759734974990068,0.10657317123203358,28.288605367355913,0.17890661434715582,2957,1646,627,507
S5P only,631,345,286,0.622673434856176,0.6465927099841522,0.21678321678321677,0.5333333333333333,0.6568967264619437,0.631424375917768,0.6022187004754358,0.4230769230769231,0.6231884057971014,0.7885983581635756,0.008750941061592021,-20.62937062937063,0.13170163170163185,215,165,121,130
S2 + local helper(s),2071,1058,1013,0.834593572778828,0.8309995171414776,0.1727541954590326,0.834593572778828,0.9166562476090595,0.843469591226321,0.8483824239497827,0.10069101678183613,0.7996219281663516,0.93360043442805,0.008876018447493084,7.206317867719646,0.01694418681899046,846,911,102,212
S2 + S5P context,565,288,277,0.7755102040816327,0.7858407079646018,0.15162454873646208,0.7256944444444444,0.8991551343762535,1.0,1.0,0.0,1.0,1.0,0.22448979591836726,15.162454873646208,0.1008448656237465,288,277,0,0
S2 + local helper(s) + S5P,574,352,222,0.8477611940298507,0.8222996515679443,0.15315315315315314,0.8068181818181818,0.8861588861588862,0.9737206085753803,0.9668989547038328,0.08558558558558559,1.0,0.9885083947583948,0.1259594145455296,6.756756756756756,0.10234950859950864,352,203,19,0
L89 + helper(s),1421,776,645,0.7779310344827587,0.7733990147783252,0.17054263565891473,0.7268041237113402,0.8434847758331334,0.7546099290780142,0.7565095003518649,0.15813953488372093,0.6855670103092784,0.901898026052905,-0.023321105404744524,1.2403100775193798,0.05841325021977162,532,543,102,244
EMIT + helper(s),2424,1438,986,0.7693469233673085,0.7479372937293729,0.1947261663286004,0.7086230876216968,0.8011232357313939,0.904382470119522,0.8811881188118812,0.2150101419878296,0.9471488178025035,0.9439905548330308,0.13503554675221352,-2.028397565922921,0.14286731910163697,1362,774,212,76
S5P + helper(s),2235,1358,877,0.7564469914040115,0.7337807606263982,0.18358038768529075,0.6804123711340206,0.8106562236033605,0.8711566617862372,0.8425055928411633,0.20980615735461802,0.8762886597938144,0.9140655568672825,0.11470967038222568,-2.6225769669327272,0.10340933326392199,1190,693,184,168
