availability_regime,count,pos,neg,base_f1,base_acc,base_fpr,base_recall,base_auroc,ada_f1,ada_acc,ada_fpr,ada_recall,ada_auroc,delta_f1,fpr_red_abs_pp,delta_auroc,ada_tp,ada_tn,ada_fp,ada_fn,baseline_calibration
S2 only,11274,5625,5649,0.803908672366814,0.8148838034415469,0.13099663657284474,0.7605333333333333,0.9081566452272771,0.8482317852577759,0.8420259003015789,0.20056647194193664,0.8848,0.9116040675832499,0.04432311289096191,-6.956983536909189,0.003447422355972729,4977,4516,1133,648,l89_logit_minus_0.10
L89 only,7387,3691,3696,0.7075449101796406,0.6694192500338433,0.46130952380952384,0.8003251151449472,0.7887487523764956,0.720952380952381,0.7620143495329633,0.09145021645021645,0.6152804118125169,0.8592797972369903,0.013407470772740404,36.98593073593074,0.07053104486049477,2271,3358,338,1420,l89_logit_minus_0.10
EMIT only,5512,3360,2152,0.5712065280746066,0.599600870827286,0.14730483271375464,0.4375,0.7130588655071695,0.8550770198050928,0.8327285921625545,0.13104089219330856,0.8095238095238095,0.908285205346079,0.2838704917304862,1.626394052044608,0.19522633983890958,2720,1870,282,640,l89_logit_minus_0.10
S5P only,627,336,291,0.7315175097276264,0.6698564593301436,0.5257731958762887,0.8392857142857143,0.7084049255441007,0.6998491704374057,0.682615629984051,0.32646048109965636,0.6904761904761905,0.7822880870561283,-0.031668339290220726,19.93127147766323,0.07388316151202756,232,196,95,104,l89_logit_minus_0.10
S2 + local helper(s),2207,1090,1117,0.8040737148399612,0.8169460806524694,0.12802148612354522,0.7605504587155963,0.905871723900027,0.815968841285297,0.828726778432261,0.11280214861235452,0.7688073394495413,0.9015083817236537,0.011895126445335857,1.52193375111907,-0.004363342176373353,838,991,126,252,l89_logit_minus_0.10
S2 + S5P context,830,448,382,0.8501170960187353,0.8457831325301205,0.112565445026178,0.8102678571428571,0.8709914921465969,0.8682505399568035,0.8530120481927711,0.19895287958115182,0.8973214285714286,0.9065830684367988,0.01813344393806815,-8.638743455497382,0.03559157629020193,402,306,76,46,l89_logit_minus_0.10
S2 + local helper(s) + S5P,407,250,157,0.8623481781376517,0.8329238329238329,0.19745222929936307,0.852,0.8738598726114648,0.937625754527163,0.9238329238329238,0.08917197452229299,0.932,0.9643566878980891,0.07527757638951127,10.828025477707008,0.09049681528662434,233,143,14,17,l89_logit_minus_0.10
L89 + helper(s),1462,782,680,0.7483870967741937,0.7332421340629275,0.27647058823529413,0.7416879795396419,0.8046957273958177,0.745639534883721,0.7606019151846786,0.11911764705882352,0.6560102301790282,0.8568433127726793,-0.0027475618904726495,15.735294117647062,0.052147585376861594,513,599,81,269,l89_logit_minus_0.10
EMIT + helper(s),2603,1559,1044,0.7532374100719424,0.7364579331540531,0.16666666666666666,0.6715843489416292,0.7987313805145748,0.8417721518987342,0.8271225509028045,0.0842911877394636,0.7677998717126363,0.9008857234842063,0.08853474182679177,8.237547892720306,0.10215434296963144,1197,956,88,362,l89_logit_minus_0.10
S5P + helper(s),2121,1274,847,0.7614213197969544,0.7340876944837341,0.2243211334120425,0.706436420722135,0.7704169670774497,0.9076604554865425,0.8948609146628949,0.053128689492325853,0.8602825745682888,0.9464806992636305,0.14623913568958813,17.119244391971662,0.17606373218618088,1096,802,45,178,l89_logit_minus_0.10
