id,row_idx,plume_id,label,reference,sensors,num_sensors,target_mask,target_shape,fusion_iou_plus,align_modes
124902,13954,emi20230221t093954p06016-A,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,1.0,resize_no_crs
124927,13955,emi20230221t093954p06016-A,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.0,resize_no_crs
124953,13956,emi20230221t093954p06016-A,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,1.0,resize_no_crs
124974,13957,emi20230221t093954p06016-A,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,1.0,resize_no_crs
124992,13958,emi20230221t093954p06016-A,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.4383968431122449,resize_no_crs
125014,13959,emi20230221t093954p06016-A,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,1.0,resize_no_crs
125036,13960,emi20230221t093954p06016-A,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,1.0,resize_no_crs
125057,13961,emi20230221t093954p06016-A,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.3788464604591837,resize_no_crs
125077,13962,emi20230221t093954p06016-A,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,1.0,resize_no_crs
125099,13963,emi20230221t093954p06016-A,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.01132015306122449,resize_no_crs
125118,13964,emi20230221t093954p06016-A,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,1.0,resize_no_crs
125142,13965,emi20230221t093954p06016-A,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.6375558035714286,resize_no_crs
125164,13966,emi20230221t093954p06016-A,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,1.0,resize_no_crs
125194,13967,emi20230221t093954p06016-A,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,1.0,resize_no_crs
125220,13968,emi20230221t093954p06016-A,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.07798549107142858,resize_no_crs
125245,13969,emi20230221t093954p06016-A,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.0,resize_no_crs
125273,13970,emi20230221t093954p06016-A,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.0,resize_no_crs
125295,13971,emi20230221t093954p06016-A,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,1.0,resize_no_crs
125315,13972,emi20230221t093954p06016-A,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,1.0,resize_no_crs
125335,13973,emi20230221t093954p06016-A,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,1.0,resize_no_crs
125356,13974,emi20230221t093954p06016-A,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.0,resize_no_crs
125375,13975,emi20230221t093954p06016-A,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,1.0,resize_no_crs
125405,13976,emi20230221t093954p06016-A,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.0,resize_no_crs
125431,13977,emi20230221t093954p06016-A,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,1.0,resize_no_crs
125454,13978,emi20230221t093954p06016-A,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.0,resize_no_crs
125476,13979,emi20230221t093954p06016-A,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,1.0,resize_no_crs
125510,13980,emi20230221t093954p06016-A,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,1.0,resize_no_crs
125542,13981,emi20230221t093954p06016-A,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.0,resize_no_crs
125572,13982,emi20230221t093954p06016-A,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,1.0,resize_no_crs
125609,13983,emi20230221t093954p06016-A,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,1.0,resize_no_crs
125631,13984,emi20230221t093954p06016-A,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,1.0,resize_no_crs
125658,13985,emi20230221t093954p06016-A,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,1.0,resize_no_crs
142784,16009,emi20230823t092349p06005-A,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,1.0,resize_no_crs
142866,16010,emi20230823t092349p06005-A,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,1.0,resize_no_crs
161391,17780,emi20240130t112621p08007-B,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.0,resize_no_crs
161411,17781,emi20240130t112621p08007-B,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,1.0,resize_no_crs
161434,17782,emi20240130t112621p08007-B,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.9011479591836735,resize_no_crs
161455,17783,emi20240130t112621p08007-B,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,1.0,resize_no_crs
161481,17784,emi20240130t112621p08007-B,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.9998405612244898,resize_no_crs
161508,17785,emi20240130t112621p08007-B,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,1.0,resize_no_crs
161539,17786,emi20240130t112621p08007-B,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,1.0,resize_no_crs
161560,17787,emi20240130t112621p08007-B,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,1.0,resize_no_crs
161571,17788,emi20240130t112621p08007-B,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,1.0,resize_no_crs
161588,17789,emi20240130t112621p08007-B,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.0,resize_no_crs
161603,17790,emi20240130t112621p08007-B,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.9886997767857143,resize_no_crs
161615,17791,emi20240130t112621p08007-B,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.0,resize_no_crs
161630,17792,emi20240130t112621p08007-B,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,0.7529695471938775,resize_no_crs
161643,17793,emi20240130t112621p08007-B,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,1.0,resize_no_crs
161660,17794,emi20240130t112621p08007-B,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,1.0,resize_no_crs
161682,17795,emi20240130t112621p08007-B,1,s2,"s2,l89,emit",3,s2_plume_path,224x224,1.0,resize_no_crs
161700,17796,emi20240130t112621p08007-B,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,1.0,resize_no_crs
161711,17797,emi20240130t112621p08007-B,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,1.0,resize_no_crs
161720,17798,emi20240130t112621p08007-B,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,1.0,resize_no_crs
161728,17799,emi20240130t112621p08007-B,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,1.0,resize_no_crs
161737,17800,emi20240130t112621p08007-B,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,1.0,resize_no_crs
161746,17801,emi20240130t112621p08007-B,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,1.0,resize_no_crs
161755,17802,emi20240130t112621p08007-B,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,1.0,resize_no_crs
161768,17803,emi20240130t112621p08007-B,0,s2,"s2,l89,emit",3,s2_plume_path,224x224,1.0,resize_no_crs
